 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
Surface Pressure (hpa), Pressure Level (hPa), Delta Pressure (hPa)
828,950,9.96921e+36
828,900,9.96921e+36
828,850,3
828,800,50
828,750,50
828,700,50
828,650,50
828,600,50
828,550,50
828,500,50
828,450,50
828,400,50
828,350,50
828,300,50
828,250,50
828,200,37.5
828,175,25
828,150,25
828,125,25
828,100,22.5
828,80,15
828,70,10
828,60,10
828,50,10
828,40,10
828,30,7.5
828,25,5
828,20,2.5
829,1000,9.96921e+36
829,950,9.96921e+36
829,900,9.96921e+36
829,850,4
829,800,50
829,750,50
829,700,50
829,650,50
829,600,50
829,550,50
829,500,50
829,450,50
829,400,50
829,350,50
829,300,50
829,250,50
829,200,37.5
829,175,25
829,150,25
829,125,25
829,100,22.5
829,80,15
829,70,10
829,60,10
829,50,10
829,40,10
829,30,7.5
829,25,5
829,20,2.5
830,1000,9.96921e+36
830,950,9.96921e+36
830,900,9.96921e+36
830,850,5
830,800,50
830,750,50
830,700,50
830,650,50
830,600,50
830,550,50
830,500,50
830,450,50
830,400,50
830,350,50
830,300,50
830,250,50
830,200,37.5
830,175,25
830,150,25
830,125,25
830,100,22.5
830,80,15
830,70,10
830,60,10
830,50,10
830,40,10
830,30,7.5
830,25,5
830,20,2.5
831,1000,9.96921e+36
831,950,9.96921e+36
831,900,9.96921e+36
831,850,6
831,800,50
831,750,50
831,700,50
831,650,50
831,600,50
831,550,50
831,500,50
831,450,50
831,400,50
831,350,50
831,300,50
831,250,50
831,200,37.5
831,175,25
831,150,25
831,125,25
831,100,22.5
831,80,15
831,70,10
831,60,10
831,50,10
831,40,10
831,30,7.5
831,25,5
831,20,2.5
832,1000,9.96921e+36
832,950,9.96921e+36
832,900,9.96921e+36
832,850,7
832,800,50
832,750,50
832,700,50
832,650,50
832,600,50
832,550,50
832,500,50
832,450,50
832,400,50
832,350,50
832,300,50
832,250,50
832,200,37.5
832,175,25
832,150,25
832,125,25
832,100,22.5
832,80,15
832,70,10
832,60,10
832,50,10
832,40,10
832,30,7.5
832,25,5
832,20,2.5
833,1000,9.96921e+36
833,950,9.96921e+36
833,900,9.96921e+36
833,850,8
833,800,50
833,750,50
833,700,50
833,650,50
833,600,50
833,550,50
833,500,50
833,450,50
833,400,50
833,350,50
833,300,50
833,250,50
833,200,37.5
833,175,25
833,150,25
833,125,25
833,100,22.5
833,80,15
833,70,10
833,60,10
833,50,10
833,40,10
833,30,7.5
833,25,5
833,20,2.5
834,1000,9.96921e+36
834,950,9.96921e+36
834,900,9.96921e+36
834,850,9
834,800,50
834,750,50
834,700,50
834,650,50
834,600,50
834,550,50
834,500,50
834,450,50
834,400,50
834,350,50
834,300,50
834,250,50
834,200,37.5
834,175,25
834,150,25
834,125,25
834,100,22.5
834,80,15
834,70,10
834,60,10
834,50,10
834,40,10
834,30,7.5
834,25,5
834,20,2.5
835,1000,9.96921e+36
835,950,9.96921e+36
835,900,9.96921e+36
835,850,10
835,800,50
835,750,50
835,700,50
835,650,50
835,600,50
835,550,50
835,500,50
835,450,50
835,400,50
835,350,50
835,300,50
835,250,50
835,200,37.5
835,175,25
835,150,25
835,125,25
835,100,22.5
835,80,15
835,70,10
835,60,10
835,50,10
835,40,10
835,30,7.5
835,25,5
835,20,2.5
836,1000,9.96921e+36
836,950,9.96921e+36
836,900,9.96921e+36
836,850,11
836,800,50
836,750,50
836,700,50
836,650,50
836,600,50
836,550,50
836,500,50
836,450,50
836,400,50
836,350,50
836,300,50
836,250,50
836,200,37.5
836,175,25
836,150,25
836,125,25
836,100,22.5
836,80,15
836,70,10
836,60,10
836,50,10
836,40,10
836,30,7.5
836,25,5
836,20,2.5
837,1000,9.96921e+36
837,950,9.96921e+36
837,900,9.96921e+36
837,850,12
837,800,50
837,750,50
837,700,50
837,650,50
837,600,50
837,550,50
837,500,50
837,450,50
837,400,50
837,350,50
837,300,50
837,250,50
837,200,37.5
837,175,25
837,150,25
837,125,25
837,100,22.5
837,80,15
837,70,10
837,60,10
837,50,10
837,40,10
837,30,7.5
837,25,5
837,20,2.5
838,1000,9.96921e+36
838,950,9.96921e+36
838,900,9.96921e+36
838,850,13
838,800,50
838,750,50
838,700,50
838,650,50
838,600,50
838,550,50
838,500,50
838,450,50
838,400,50
838,350,50
838,300,50
838,250,50
838,200,37.5
838,175,25
838,150,25
838,125,25
838,100,22.5
838,80,15
838,70,10
838,60,10
838,50,10
838,40,10
838,30,7.5
838,25,5
838,20,2.5
839,1000,9.96921e+36
839,950,9.96921e+36
839,900,9.96921e+36
839,850,14
839,800,50
839,750,50
839,700,50
839,650,50
839,600,50
839,550,50
839,500,50
839,450,50
839,400,50
839,350,50
839,300,50
839,250,50
839,200,37.5
839,175,25
839,150,25
839,125,25
839,100,22.5
839,80,15
839,70,10
839,60,10
839,50,10
839,40,10
839,30,7.5
839,25,5
839,20,2.5
840,1000,9.96921e+36
840,950,9.96921e+36
840,900,9.96921e+36
840,850,15
840,800,50
840,750,50
840,700,50
840,650,50
840,600,50
840,550,50
840,500,50
840,450,50
840,400,50
840,350,50
840,300,50
840,250,50
840,200,37.5
840,175,25
840,150,25
840,125,25
840,100,22.5
840,80,15
840,70,10
840,60,10
840,50,10
840,40,10
840,30,7.5
840,25,5
840,20,2.5
841,1000,9.96921e+36
841,950,9.96921e+36
841,900,9.96921e+36
841,850,16
841,800,50
841,750,50
841,700,50
841,650,50
841,600,50
841,550,50
841,500,50
841,450,50
841,400,50
841,350,50
841,300,50
841,250,50
841,200,37.5
841,175,25
841,150,25
841,125,25
841,100,22.5
841,80,15
841,70,10
841,60,10
841,50,10
841,40,10
841,30,7.5
841,25,5
841,20,2.5
842,1000,9.96921e+36
842,950,9.96921e+36
842,900,9.96921e+36
842,850,17
842,800,50
842,750,50
842,700,50
842,650,50
842,600,50
842,550,50
842,500,50
842,450,50
842,400,50
842,350,50
842,300,50
842,250,50
842,200,37.5
842,175,25
842,150,25
842,125,25
842,100,22.5
842,80,15
842,70,10
842,60,10
842,50,10
842,40,10
842,30,7.5
842,25,5
842,20,2.5
843,1000,9.96921e+36
843,950,9.96921e+36
843,900,9.96921e+36
843,850,18
843,800,50
843,750,50
843,700,50
843,650,50
843,600,50
843,550,50
843,500,50
843,450,50
843,400,50
843,350,50
843,300,50
843,250,50
843,200,37.5
843,175,25
843,150,25
843,125,25
843,100,22.5
843,80,15
843,70,10
843,60,10
843,50,10
843,40,10
843,30,7.5
843,25,5
843,20,2.5
844,1000,9.96921e+36
844,950,9.96921e+36
844,900,9.96921e+36
844,850,19
844,800,50
844,750,50
844,700,50
844,650,50
844,600,50
844,550,50
844,500,50
844,450,50
844,400,50
844,350,50
844,300,50
844,250,50
844,200,37.5
844,175,25
844,150,25
844,125,25
844,100,22.5
844,80,15
844,70,10
844,60,10
844,50,10
844,40,10
844,30,7.5
844,25,5
844,20,2.5
845,1000,9.96921e+36
845,950,9.96921e+36
845,900,9.96921e+36
845,850,20
845,800,50
845,750,50
845,700,50
845,650,50
845,600,50
845,550,50
845,500,50
845,450,50
845,400,50
845,350,50
845,300,50
845,250,50
845,200,37.5
845,175,25
845,150,25
845,125,25
845,100,22.5
845,80,15
845,70,10
845,60,10
845,50,10
845,40,10
845,30,7.5
845,25,5
845,20,2.5
846,1000,9.96921e+36
846,950,9.96921e+36
846,900,9.96921e+36
846,850,21
846,800,50
846,750,50
846,700,50
846,650,50
846,600,50
846,550,50
846,500,50
846,450,50
846,400,50
846,350,50
846,300,50
846,250,50
846,200,37.5
846,175,25
846,150,25
846,125,25
846,100,22.5
846,80,15
846,70,10
846,60,10
846,50,10
846,40,10
846,30,7.5
846,25,5
846,20,2.5
847,1000,9.96921e+36
847,950,9.96921e+36
847,900,9.96921e+36
847,850,22
847,800,50
847,750,50
847,700,50
847,650,50
847,600,50
847,550,50
847,500,50
847,450,50
847,400,50
847,350,50
847,300,50
847,250,50
847,200,37.5
847,175,25
847,150,25
847,125,25
847,100,22.5
847,80,15
847,70,10
847,60,10
847,50,10
847,40,10
847,30,7.5
847,25,5
847,20,2.5
848,1000,9.96921e+36
848,950,9.96921e+36
848,900,9.96921e+36
848,850,23
848,800,50
848,750,50
848,700,50
848,650,50
848,600,50
848,550,50
848,500,50
848,450,50
848,400,50
848,350,50
848,300,50
848,250,50
848,200,37.5
848,175,25
848,150,25
848,125,25
848,100,22.5
848,80,15
848,70,10
848,60,10
848,50,10
848,40,10
848,30,7.5
848,25,5
848,20,2.5
849,1000,9.96921e+36
849,950,9.96921e+36
849,900,9.96921e+36
849,850,24
849,800,50
849,750,50
849,700,50
849,650,50
849,600,50
849,550,50
849,500,50
849,450,50
849,400,50
849,350,50
849,300,50
849,250,50
849,200,37.5
849,175,25
849,150,25
849,125,25
849,100,22.5
849,80,15
849,70,10
849,60,10
849,50,10
849,40,10
849,30,7.5
849,25,5
849,20,2.5
850,1000,9.96921e+36
850,950,9.96921e+36
850,900,9.96921e+36
850,850,25
850,800,50
850,750,50
850,700,50
850,650,50
850,600,50
850,550,50
850,500,50
850,450,50
850,400,50
850,350,50
850,300,50
850,250,50
850,200,37.5
850,175,25
850,150,25
850,125,25
850,100,22.5
850,80,15
850,70,10
850,60,10
850,50,10
850,40,10
850,30,7.5
850,25,5
850,20,2.5
851,1000,9.96921e+36
851,950,9.96921e+36
851,900,9.96921e+36
851,850,26
851,800,50
851,750,50
851,700,50
851,650,50
851,600,50
851,550,50
851,500,50
851,450,50
851,400,50
851,350,50
851,300,50
851,250,50
851,200,37.5
851,175,25
851,150,25
851,125,25
851,100,22.5
851,80,15
851,70,10
851,60,10
851,50,10
851,40,10
851,30,7.5
851,25,5
851,20,2.5
852,1000,9.96921e+36
852,950,9.96921e+36
852,900,9.96921e+36
852,850,27
852,800,50
852,750,50
852,700,50
852,650,50
852,600,50
852,550,50
852,500,50
852,450,50
852,400,50
852,350,50
852,300,50
852,250,50
852,200,37.5
852,175,25
852,150,25
852,125,25
852,100,22.5
852,80,15
852,70,10
852,60,10
852,50,10
852,40,10
852,30,7.5
852,25,5
852,20,2.5
853,1000,9.96921e+36
853,950,9.96921e+36
853,900,9.96921e+36
853,850,28
853,800,50
853,750,50
853,700,50
853,650,50
853,600,50
853,550,50
853,500,50
853,450,50
853,400,50
853,350,50
853,300,50
853,250,50
853,200,37.5
853,175,25
853,150,25
853,125,25
853,100,22.5
853,80,15
853,70,10
853,60,10
853,50,10
853,40,10
853,30,7.5
853,25,5
853,20,2.5
854,1000,9.96921e+36
854,950,9.96921e+36
854,900,9.96921e+36
854,850,29
854,800,50
854,750,50
854,700,50
854,650,50
854,600,50
854,550,50
854,500,50
854,450,50
854,400,50
854,350,50
854,300,50
854,250,50
854,200,37.5
854,175,25
854,150,25
854,125,25
854,100,22.5
854,80,15
854,70,10
854,60,10
854,50,10
854,40,10
854,30,7.5
854,25,5
854,20,2.5
855,1000,9.96921e+36
855,950,9.96921e+36
855,900,9.96921e+36
855,850,30
855,800,50
855,750,50
855,700,50
855,650,50
855,600,50
855,550,50
855,500,50
855,450,50
855,400,50
855,350,50
855,300,50
855,250,50
855,200,37.5
855,175,25
855,150,25
855,125,25
855,100,22.5
855,80,15
855,70,10
855,60,10
855,50,10
855,40,10
855,30,7.5
855,25,5
855,20,2.5
856,1000,9.96921e+36
856,950,9.96921e+36
856,900,9.96921e+36
856,850,31
856,800,50
856,750,50
856,700,50
856,650,50
856,600,50
856,550,50
856,500,50
856,450,50
856,400,50
856,350,50
856,300,50
856,250,50
856,200,37.5
856,175,25
856,150,25
856,125,25
856,100,22.5
856,80,15
856,70,10
856,60,10
856,50,10
856,40,10
856,30,7.5
856,25,5
856,20,2.5
857,1000,9.96921e+36
857,950,9.96921e+36
857,900,9.96921e+36
857,850,32
857,800,50
857,750,50
857,700,50
857,650,50
857,600,50
857,550,50
857,500,50
857,450,50
857,400,50
857,350,50
857,300,50
857,250,50
857,200,37.5
857,175,25
857,150,25
857,125,25
857,100,22.5
857,80,15
857,70,10
857,60,10
857,50,10
857,40,10
857,30,7.5
857,25,5
857,20,2.5
858,1000,9.96921e+36
858,950,9.96921e+36
858,900,9.96921e+36
858,850,33
858,800,50
858,750,50
858,700,50
858,650,50
858,600,50
858,550,50
858,500,50
858,450,50
858,400,50
858,350,50
858,300,50
858,250,50
858,200,37.5
858,175,25
858,150,25
858,125,25
858,100,22.5
858,80,15
858,70,10
858,60,10
858,50,10
858,40,10
858,30,7.5
858,25,5
858,20,2.5
859,1000,9.96921e+36
859,950,9.96921e+36
859,900,9.96921e+36
859,850,34
859,800,50
859,750,50
859,700,50
859,650,50
859,600,50
859,550,50
859,500,50
859,450,50
859,400,50
859,350,50
859,300,50
859,250,50
859,200,37.5
859,175,25
859,150,25
859,125,25
859,100,22.5
859,80,15
859,70,10
859,60,10
859,50,10
859,40,10
859,30,7.5
859,25,5
859,20,2.5
860,1000,9.96921e+36
860,950,9.96921e+36
860,900,9.96921e+36
860,850,35
860,800,50
860,750,50
860,700,50
860,650,50
860,600,50
860,550,50
860,500,50
860,450,50
860,400,50
860,350,50
860,300,50
860,250,50
860,200,37.5
860,175,25
860,150,25
860,125,25
860,100,22.5
860,80,15
860,70,10
860,60,10
860,50,10
860,40,10
860,30,7.5
860,25,5
860,20,2.5
861,1000,9.96921e+36
861,950,9.96921e+36
861,900,9.96921e+36
861,850,36
861,800,50
861,750,50
861,700,50
861,650,50
861,600,50
861,550,50
861,500,50
861,450,50
861,400,50
861,350,50
861,300,50
861,250,50
861,200,37.5
861,175,25
861,150,25
861,125,25
861,100,22.5
861,80,15
861,70,10
861,60,10
861,50,10
861,40,10
861,30,7.5
861,25,5
861,20,2.5
862,1000,9.96921e+36
862,950,9.96921e+36
862,900,9.96921e+36
862,850,37
862,800,50
862,750,50
862,700,50
862,650,50
862,600,50
862,550,50
862,500,50
862,450,50
862,400,50
862,350,50
862,300,50
862,250,50
862,200,37.5
862,175,25
862,150,25
862,125,25
862,100,22.5
862,80,15
862,70,10
862,60,10
862,50,10
862,40,10
862,30,7.5
862,25,5
862,20,2.5
863,1000,9.96921e+36
863,950,9.96921e+36
863,900,9.96921e+36
863,850,38
863,800,50
863,750,50
863,700,50
863,650,50
863,600,50
863,550,50
863,500,50
863,450,50
863,400,50
863,350,50
863,300,50
863,250,50
863,200,37.5
863,175,25
863,150,25
863,125,25
863,100,22.5
863,80,15
863,70,10
863,60,10
863,50,10
863,40,10
863,30,7.5
863,25,5
863,20,2.5
864,1000,9.96921e+36
864,950,9.96921e+36
864,900,9.96921e+36
864,850,39
864,800,50
864,750,50
864,700,50
864,650,50
864,600,50
864,550,50
864,500,50
864,450,50
864,400,50
864,350,50
864,300,50
864,250,50
864,200,37.5
864,175,25
864,150,25
864,125,25
864,100,22.5
864,80,15
864,70,10
864,60,10
864,50,10
864,40,10
864,30,7.5
864,25,5
864,20,2.5
865,1000,9.96921e+36
865,950,9.96921e+36
865,900,9.96921e+36
865,850,40
865,800,50
865,750,50
865,700,50
865,650,50
865,600,50
865,550,50
865,500,50
865,450,50
865,400,50
865,350,50
865,300,50
865,250,50
865,200,37.5
865,175,25
865,150,25
865,125,25
865,100,22.5
865,80,15
865,70,10
865,60,10
865,50,10
865,40,10
865,30,7.5
865,25,5
865,20,2.5
866,1000,9.96921e+36
866,950,9.96921e+36
866,900,9.96921e+36
866,850,41
866,800,50
866,750,50
866,700,50
866,650,50
866,600,50
866,550,50
866,500,50
866,450,50
866,400,50
866,350,50
866,300,50
866,250,50
866,200,37.5
866,175,25
866,150,25
866,125,25
866,100,22.5
866,80,15
866,70,10
866,60,10
866,50,10
866,40,10
866,30,7.5
866,25,5
866,20,2.5
867,1000,9.96921e+36
867,950,9.96921e+36
867,900,9.96921e+36
867,850,42
867,800,50
867,750,50
867,700,50
867,650,50
867,600,50
867,550,50
867,500,50
867,450,50
867,400,50
867,350,50
867,300,50
