 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
Surface Pressure (hpa), Pressure Level (hPa), Delta Pressure (hPa)
800,1000,9.96921e+36
800,950,9.96921e+36
800,900,9.96921e+36
800,850,9.96921e+36
800,800,25
800,750,50
800,700,50
800,650,50
800,600,50
800,550,50
800,500,50
800,450,50
800,400,50
800,350,50
800,300,50
800,250,50
800,200,37.5
800,175,25
800,150,25
800,125,25
800,100,22.5
800,80,15
800,70,10
800,60,10
800,50,10
800,40,10
800,30,7.5
800,25,5
800,20,2.5
801,1000,9.96921e+36
801,950,9.96921e+36
801,900,9.96921e+36
801,850,9.96921e+36
801,800,26
801,750,50
801,700,50
801,650,50
801,600,50
801,550,50
801,500,50
801,450,50
801,400,50
801,350,50
801,300,50
801,250,50
801,200,37.5
801,175,25
801,150,25
801,125,25
801,100,22.5
801,80,15
801,70,10
801,60,10
801,50,10
801,40,10
801,30,7.5
801,25,5
801,20,2.5
802,1000,9.96921e+36
802,950,9.96921e+36
802,900,9.96921e+36
802,850,9.96921e+36
802,800,27
802,750,50
802,700,50
802,650,50
802,600,50
802,550,50
802,500,50
802,450,50
802,400,50
802,350,50
802,300,50
802,250,50
802,200,37.5
802,175,25
802,150,25
802,125,25
802,100,22.5
802,80,15
802,70,10
802,60,10
802,50,10
802,40,10
802,30,7.5
802,25,5
802,20,2.5
803,1000,9.96921e+36
803,950,9.96921e+36
803,900,9.96921e+36
803,850,9.96921e+36
803,800,28
803,750,50
803,700,50
803,650,50
803,600,50
803,550,50
803,500,50
803,450,50
803,400,50
803,350,50
803,300,50
803,250,50
803,200,37.5
803,175,25
803,150,25
803,125,25
803,100,22.5
803,80,15
803,70,10
803,60,10
803,50,10
803,40,10
803,30,7.5
803,25,5
803,20,2.5
804,1000,9.96921e+36
804,950,9.96921e+36
804,900,9.96921e+36
804,850,9.96921e+36
804,800,29
804,750,50
804,700,50
804,650,50
804,600,50
804,550,50
804,500,50
804,450,50
804,400,50
804,350,50
804,300,50
804,250,50
804,200,37.5
804,175,25
804,150,25
804,125,25
804,100,22.5
804,80,15
804,70,10
804,60,10
804,50,10
804,40,10
804,30,7.5
804,25,5
804,20,2.5
805,1000,9.96921e+36
805,950,9.96921e+36
805,900,9.96921e+36
805,850,9.96921e+36
805,800,30
805,750,50
805,700,50
805,650,50
805,600,50
805,550,50
805,500,50
805,450,50
805,400,50
805,350,50
805,300,50
805,250,50
805,200,37.5
805,175,25
805,150,25
805,125,25
805,100,22.5
805,80,15
805,70,10
805,60,10
805,50,10
805,40,10
805,30,7.5
805,25,5
805,20,2.5
806,1000,9.96921e+36
806,950,9.96921e+36
806,900,9.96921e+36
806,850,9.96921e+36
806,800,31
806,750,50
806,700,50
806,650,50
806,600,50
806,550,50
806,500,50
806,450,50
806,400,50
806,350,50
806,300,50
806,250,50
806,200,37.5
806,175,25
806,150,25
806,125,25
806,100,22.5
806,80,15
806,70,10
806,60,10
806,50,10
806,40,10
806,30,7.5
806,25,5
806,20,2.5
807,1000,9.96921e+36
807,950,9.96921e+36
807,900,9.96921e+36
807,850,9.96921e+36
807,800,32
807,750,50
807,700,50
807,650,50
807,600,50
807,550,50
807,500,50
807,450,50
807,400,50
807,350,50
807,300,50
807,250,50
807,200,37.5
807,175,25
807,150,25
807,125,25
807,100,22.5
807,80,15
807,70,10
807,60,10
807,50,10
807,40,10
807,30,7.5
807,25,5
807,20,2.5
808,1000,9.96921e+36
808,950,9.96921e+36
808,900,9.96921e+36
808,850,9.96921e+36
808,800,33
808,750,50
808,700,50
808,650,50
808,600,50
808,550,50
808,500,50
808,450,50
808,400,50
808,350,50
808,300,50
808,250,50
808,200,37.5
808,175,25
808,150,25
808,125,25
808,100,22.5
808,80,15
808,70,10
808,60,10
808,50,10
808,40,10
808,30,7.5
808,25,5
808,20,2.5
809,1000,9.96921e+36
809,950,9.96921e+36
809,900,9.96921e+36
809,850,9.96921e+36
809,800,34
809,750,50
809,700,50
809,650,50
809,600,50
809,550,50
809,500,50
809,450,50
809,400,50
809,350,50
809,300,50
809,250,50
809,200,37.5
809,175,25
809,150,25
809,125,25
809,100,22.5
809,80,15
809,70,10
809,60,10
809,50,10
809,40,10
809,30,7.5
809,25,5
809,20,2.5
810,1000,9.96921e+36
810,950,9.96921e+36
810,900,9.96921e+36
810,850,9.96921e+36
810,800,35
810,750,50
810,700,50
810,650,50
810,600,50
810,550,50
810,500,50
810,450,50
810,400,50
810,350,50
810,300,50
810,250,50
810,200,37.5
810,175,25
810,150,25
810,125,25
810,100,22.5
810,80,15
810,70,10
810,60,10
810,50,10
810,40,10
810,30,7.5
810,25,5
810,20,2.5
811,1000,9.96921e+36
811,950,9.96921e+36
811,900,9.96921e+36
811,850,9.96921e+36
811,800,36
811,750,50
811,700,50
811,650,50
811,600,50
811,550,50
811,500,50
811,450,50
811,400,50
811,350,50
811,300,50
811,250,50
811,200,37.5
811,175,25
811,150,25
811,125,25
811,100,22.5
811,80,15
811,70,10
811,60,10
811,50,10
811,40,10
811,30,7.5
811,25,5
811,20,2.5
812,1000,9.96921e+36
812,950,9.96921e+36
812,900,9.96921e+36
812,850,9.96921e+36
812,800,37
812,750,50
812,700,50
812,650,50
812,600,50
812,550,50
812,500,50
812,450,50
812,400,50
812,350,50
812,300,50
812,250,50
812,200,37.5
812,175,25
812,150,25
812,125,25
812,100,22.5
812,80,15
812,70,10
812,60,10
812,50,10
812,40,10
812,30,7.5
812,25,5
812,20,2.5
813,1000,9.96921e+36
813,950,9.96921e+36
813,900,9.96921e+36
813,850,9.96921e+36
813,800,38
813,750,50
813,700,50
813,650,50
813,600,50
813,550,50
813,500,50
813,450,50
813,400,50
813,350,50
813,300,50
813,250,50
813,200,37.5
813,175,25
813,150,25
813,125,25
813,100,22.5
813,80,15
813,70,10
813,60,10
813,50,10
813,40,10
813,30,7.5
813,25,5
813,20,2.5
814,1000,9.96921e+36
814,950,9.96921e+36
814,900,9.96921e+36
814,850,9.96921e+36
814,800,39
814,750,50
814,700,50
814,650,50
814,600,50
814,550,50
814,500,50
814,450,50
814,400,50
814,350,50
814,300,50
814,250,50
814,200,37.5
814,175,25
814,150,25
814,125,25
814,100,22.5
814,80,15
814,70,10
814,60,10
814,50,10
814,40,10
814,30,7.5
814,25,5
814,20,2.5
815,1000,9.96921e+36
815,950,9.96921e+36
815,900,9.96921e+36
815,850,9.96921e+36
815,800,40
815,750,50
815,700,50
815,650,50
815,600,50
815,550,50
815,500,50
815,450,50
815,400,50
815,350,50
815,300,50
815,250,50
815,200,37.5
815,175,25
815,150,25
815,125,25
815,100,22.5
815,80,15
815,70,10
815,60,10
815,50,10
815,40,10
815,30,7.5
815,25,5
815,20,2.5
816,1000,9.96921e+36
816,950,9.96921e+36
816,900,9.96921e+36
816,850,9.96921e+36
816,800,41
816,750,50
816,700,50
816,650,50
816,600,50
816,550,50
816,500,50
816,450,50
816,400,50
816,350,50
816,300,50
816,250,50
816,200,37.5
816,175,25
816,150,25
816,125,25
816,100,22.5
816,80,15
816,70,10
816,60,10
816,50,10
816,40,10
816,30,7.5
816,25,5
816,20,2.5
817,1000,9.96921e+36
817,950,9.96921e+36
817,900,9.96921e+36
817,850,9.96921e+36
817,800,42
817,750,50
817,700,50
817,650,50
817,600,50
817,550,50
817,500,50
817,450,50
817,400,50
817,350,50
817,300,50
817,250,50
817,200,37.5
817,175,25
817,150,25
817,125,25
817,100,22.5
817,80,15
817,70,10
817,60,10
817,50,10
817,40,10
817,30,7.5
817,25,5
817,20,2.5
818,1000,9.96921e+36
818,950,9.96921e+36
818,900,9.96921e+36
818,850,9.96921e+36
818,800,43
818,750,50
818,700,50
818,650,50
818,600,50
818,550,50
818,500,50
818,450,50
818,400,50
818,350,50
818,300,50
818,250,50
818,200,37.5
818,175,25
818,150,25
818,125,25
818,100,22.5
818,80,15
818,70,10
818,60,10
818,50,10
818,40,10
818,30,7.5
818,25,5
818,20,2.5
819,1000,9.96921e+36
819,950,9.96921e+36
819,900,9.96921e+36
819,850,9.96921e+36
819,800,44
819,750,50
819,700,50
819,650,50
819,600,50
819,550,50
819,500,50
819,450,50
819,400,50
819,350,50
819,300,50
819,250,50
819,200,37.5
819,175,25
819,150,25
819,125,25
819,100,22.5
819,80,15
819,70,10
819,60,10
819,50,10
819,40,10
819,30,7.5
819,25,5
819,20,2.5
820,1000,9.96921e+36
820,950,9.96921e+36
820,900,9.96921e+36
820,850,9.96921e+36
820,800,45
820,750,50
820,700,50
820,650,50
820,600,50
820,550,50
820,500,50
820,450,50
820,400,50
820,350,50
820,300,50
820,250,50
820,200,37.5
820,175,25
820,150,25
820,125,25
820,100,22.5
820,80,15
820,70,10
820,60,10
820,50,10
820,40,10
820,30,7.5
820,25,5
820,20,2.5
821,1000,9.96921e+36
821,950,9.96921e+36
821,900,9.96921e+36
821,850,9.96921e+36
821,800,46
821,750,50
821,700,50
821,650,50
821,600,50
821,550,50
821,500,50
821,450,50
821,400,50
821,350,50
821,300,50
821,250,50
821,200,37.5
821,175,25
821,150,25
821,125,25
821,100,22.5
821,80,15
821,70,10
821,60,10
821,50,10
821,40,10
821,30,7.5
821,25,5
821,20,2.5
822,1000,9.96921e+36
822,950,9.96921e+36
822,900,9.96921e+36
822,850,9.96921e+36
822,800,47
822,750,50
822,700,50
822,650,50
822,600,50
822,550,50
822,500,50
822,450,50
822,400,50
822,350,50
822,300,50
822,250,50
822,200,37.5
822,175,25
822,150,25
822,125,25
822,100,22.5
822,80,15
822,70,10
822,60,10
822,50,10
822,40,10
822,30,7.5
822,25,5
822,20,2.5
823,1000,9.96921e+36
823,950,9.96921e+36
823,900,9.96921e+36
823,850,9.96921e+36
823,800,48
823,750,50
823,700,50
823,650,50
823,600,50
823,550,50
823,500,50
823,450,50
823,400,50
823,350,50
823,300,50
823,250,50
823,200,37.5
823,175,25
823,150,25
823,125,25
823,100,22.5
823,80,15
823,70,10
823,60,10
823,50,10
823,40,10
823,30,7.5
823,25,5
823,20,2.5
824,1000,9.96921e+36
824,950,9.96921e+36
824,900,9.96921e+36
824,850,9.96921e+36
824,800,49
824,750,50
824,700,50
824,650,50
824,600,50
824,550,50
824,500,50
824,450,50
824,400,50
824,350,50
824,300,50
824,250,50
824,200,37.5
824,175,25
824,150,25
824,125,25
824,100,22.5
824,80,15
824,70,10
824,60,10
824,50,10
824,40,10
824,30,7.5
824,25,5
824,20,2.5
825,1000,9.96921e+36
825,950,9.96921e+36
825,900,9.96921e+36
825,850,0
825,800,50
825,750,50
825,700,50
825,650,50
825,600,50
825,550,50
825,500,50
825,450,50
825,400,50
825,350,50
825,300,50
825,250,50
825,200,37.5
825,175,25
825,150,25
825,125,25
825,100,22.5
825,80,15
825,70,10
825,60,10
825,50,10
825,40,10
825,30,7.5
825,25,5
825,20,2.5
826,1000,9.96921e+36
826,950,9.96921e+36
826,900,9.96921e+36
826,850,1
826,800,50
826,750,50
826,700,50
826,650,50
826,600,50
826,550,50
826,500,50
826,450,50
826,400,50
826,350,50
826,300,50
826,250,50
826,200,37.5
826,175,25
826,150,25
826,125,25
826,100,22.5
826,80,15
826,70,10
826,60,10
826,50,10
826,40,10
826,30,7.5
826,25,5
826,20,2.5
827,1000,9.96921e+36
827,950,9.96921e+36
827,900,9.96921e+36
827,850,2
827,800,50
827,750,50
827,700,50
827,650,50
827,600,50
827,550,50
827,500,50
827,450,50
827,400,50
827,350,50
827,300,50
827,250,50
827,200,37.5
827,175,25
827,150,25
827,125,25
827,100,22.5
827,80,15
827,70,10
827,60,10
827,50,10
827,40,10
827,30,7.5
827,25,5
827,20,2.5
828,1000,9.96921e+36
