 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
Temperature (K), Relative Humidity (%), Dew Temperature (C)
274,53,-7.68195
274,54,-7.43832
274,55,-7.19876
274,56,-6.9631
274,57,-6.7312
274,58,-6.50293
274,59,-6.2782
274,60,-6.05685
274,61,-5.83881
274,62,-5.62399
274,63,-5.41223
274,64,-5.20352
274,65,-4.99768
274,66,-4.79471
274,67,-4.59448
274,68,-4.39694
274,69,-4.20197
274,70,-4.00955
274,71,-3.81958
274,72,-3.63202
274,73,-3.44678
274,74,-3.26379
274,75,-3.08304
274,76,-2.90445
274,77,-2.72794
274,78,-2.5535
274,79,-2.38104
274,80,-2.21057
274,81,-2.04196
274,82,-1.87524
274,83,-1.71036
274,84,-1.54721
274,85,-1.38583
274,86,-1.22614
274,87,-1.06812
274,88,-0.911713
274,89,-0.756897
274,90,-0.603668
274,91,-0.451935
274,92,-0.301697
274,93,-0.152924
274,94,-0.0055542
274,95,0.140381
274,96,0.284943
274,97,0.428162
274,98,0.570068
274,99,0.710663
274,100,0.850006
275,1,-50.3337
275,2,-43.7826
275,3,-39.7688
275,4,-36.8346
275,5,-34.5074
275,6,-32.5717
275,7,-30.9103
275,8,-29.4526
275,9,-28.1521
275,10,-26.9769
275,11,-25.9041
275,12,-24.9165
275,13,-24.0011
275,14,-23.1474
275,15,-22.3474
275,16,-21.5944
275,17,-20.8829
275,18,-20.2085
275,19,-19.5671
275,20,-18.9557
275,21,-18.3714
275,22,-17.8117
275,23,-17.2746
275,24,-16.7582
275,25,-16.261
275,26,-15.7815
275,27,-15.3184
275,28,-14.8705
275,29,-14.4369
275,30,-14.0165
275,31,-13.6087
275,32,-13.2126
275,33,-12.8275
275,34,-12.4529
275,35,-12.088
275,36,-11.7325
275,37,-11.3858
275,38,-11.0474
275,39,-10.717
275,40,-10.3941
275,41,-10.0785
275,42,-9.76971
275,43,-9.4675
275,44,-9.17157
275,45,-8.88165
275,46,-8.59747
275,47,-8.31885
275,48,-8.04547
275,49,-7.77722
275,50,-7.51385
275,51,-7.25519
275,52,-7.00107
275,53,-6.75131
275,54,-6.50577
275,55,-6.26428
275,56,-6.02673
275,57,-5.79297
275,58,-5.56287
275,59,-5.3363
275,60,-5.11319
275,61,-4.8934
275,62,-4.67685
275,63,-4.46341
275,64,-4.25299
275,65,-4.0455
275,66,-3.84088
275,67,-3.63904
275,68,-3.43988
275,69,-3.24335
275,70,-3.04938
275,71,-2.85785
275,72,-2.66876
275,73,-2.48203
275,74,-2.29755
275,75,-2.11533
275,76,-1.93527
275,77,-1.75732
275,78,-1.58148
275,79,-1.40762
275,80,-1.23572
275,81,-1.06577
275,82,-0.897675
275,83,-0.731415
275,84,-0.566956
275,85,-0.404266
275,86,-0.243256
275,87,-0.0839233
275,88,0.073761
275,89,0.229828
275,90,0.384338
275,91,0.537323
275,92,0.688812
275,93,0.838806
275,94,0.987366
275,95,1.13452
275,96,1.28027
275,97,1.42468
275,98,1.56775
275,99,1.70953
275,100,1.85001
276,1,-49.7184
276,2,-43.124
276,3,-39.0829
276,4,-36.1286
276,5,-33.7851
276,6,-31.8357
276,7,-30.1625
276,8,-28.6943
276,9,-27.3844
276,10,-26.2008
276,11,-25.1201
276,12,-24.1253
276,13,-23.2031
276,14,-22.3431
276,15,-21.5372
276,16,-20.7786
276,17,-20.0618
276,18,-19.3823
276,19,-18.7361
276,20,-18.1201
276,21,-17.5313
276,22,-16.9674
276,23,-16.4262
276,24,-15.9059
276,25,-15.4049
276,26,-14.9217
276,27,-14.455
276,28,-14.0037
276,29,-13.5667
276,30,-13.1432
276,31,-12.7322
276,32,-12.333
276,33,-11.945
276,34,-11.5674
276,35,-11.1997
276,36,-10.8414
276,37,-10.492
276,38,-10.151
276,39,-9.81799
276,40,-9.49261
276,41,-9.1745
276,42,-8.86328
276,43,-8.55872
276,44,-8.26044
276,45,-7.96823
276,46,-7.68182
276,47,-7.40097
276,48,-7.12546
276,49,-6.85507
276,50,-6.58963
276,51,-6.32892
276,52,-6.07275
276,53,-5.82101
276,54,-5.57352
276,55,-5.33011
276,56,-5.09067
276,57,-4.85504
276,58,-4.62311
276,59,-4.39474
276,60,-4.16983
276,61,-3.94827
276,62,-3.72998
276,63,-3.5148
276,64,-3.3027
276,65,-3.09357
276,66,-2.8873
276,67,-2.68381
276,68,-2.48306
276,69,-2.28494
276,70,-2.08939
276,71,-1.89633
276,72,-1.70569
276,73,-1.51743
276,74,-1.33148
276,75,-1.14777
276,76,-0.966248
276,77,-0.786865
276,78,-0.609589
276,79,-0.434296
276,80,-0.261017
276,81,-0.0896912
276,82,0.0797729
276,83,0.247375
276,84,0.413208
276,85,0.57724
276,86,0.739532
276,87,0.900177
276,88,1.05914
276,89,1.21652
276,90,1.37228
276,91,1.52652
276,92,1.67926
276,93,1.83047
276,94,1.98026
276,95,2.12863
276,96,2.27557
276,97,2.42117
276,98,2.56543
276,99,2.70837
276,100,2.85001
277,1,-49.1045
277,2,-42.4668
277,3,-38.3984
277,4,-35.4237
277,5,-33.0639
277,6,-31.1008
277,7,-29.4158
277,8,-27.9371
277,9,-26.6178
277,10,-25.4256
277,11,-24.3371
277,12,-23.335
277,13,-22.406
277,14,-21.5397
277,15,-20.7278
277,16,-19.9636
277,17,-19.2414
277,18,-18.5568
277,19,-17.9058
277,20,-17.2852
277,21,-16.692
277,22,-16.1238
277,23,-15.5785
277,24,-15.0543
277,25,-14.5495
277,26,-14.0626
277,27,-13.5923
277,28,-13.1376
277,29,-12.6973
277,30,-12.2704
277,31,-11.8563
277,32,-11.4541
277,33,-11.063
277,34,-10.6825
277,35,-10.312
277,36,-9.9509
277,37,-9.59875
277,38,-9.2551
277,39,-8.91949
277,40,-8.59158
277,41,-8.27097
277,42,-7.95734
277,43,-7.65036
277,44,-7.34976
277,45,-7.05527
277,46,-6.7666
277,47,-6.48352
277,48,-6.20584
277,49,-5.93332
277,50,-5.66577
277,51,-5.40298
277,52,-5.14481
277,53,-4.89108
277,54,-4.6416
277,55,-4.39627
277,56,-4.15491
277,57,-3.91742
277,58,-3.68362
277,59,-3.45343
277,60,-3.22675
277,61,-3.00342
277,62,-2.78336
277,63,-2.56647
277,64,-2.35266
277,65,-2.14185
277,66,-1.93393
277,67,-1.72882
277,68,-1.52643
277,69,-1.32672
277,70,-1.12961
277,71,-0.934998
277,72,-0.742828
277,73,-0.55304
277,74,-0.36557
277,75,-0.180389
277,76,0.00259399
277,77,0.183441
277,78,0.362183
277,79,0.538849
277,80,0.713562
277,81,0.886292
277,82,1.05713
277,83,1.2261
277,84,1.39325
277,85,1.55862
277,86,1.72226
277,87,1.88422
277,88,2.04446
277,89,2.20312
277,90,2.36017
277,91,2.51569
277,92,2.66965
277,93,2.82211
277,94,2.97311
277,95,3.12271
277,96,3.27087
277,97,3.41766
277,98,3.56308
277,99,3.70718
277,100,3.85001
278,1,-48.492
278,2,-41.8108
278,3,-37.7151
278,4,-34.7201
278,5,-32.3439
278,6,-30.3671
278,7,-28.6701
278,8,-27.1809
278,9,-25.8522
278,10,-24.6513
278,11,-23.555
278,12,-22.5456
278,13,-21.6098
278,14,-20.7371
278,15,-19.9193
278,16,-19.1494
278,17,-18.4219
278,18,-17.7322
278,19,-17.0763
278,20,-16.451
278,21,-15.8534
278,22,-15.2809
278,23,-14.7315
278,24,-14.2034
278,25,-13.6947
278,26,-13.2041
278,27,-12.7303
278,28,-12.2721
278,29,-11.8284
278,30,-11.3983
278,31,-10.981
278,32,-10.5757
278,33,-10.1816
278,34,-9.79816
278,35,-9.42477
278,36,-9.06088
278,37,-8.70602
278,38,-8.35968
278,39,-8.02148
278,40,-7.69101
278,41,-7.36789
278,42,-7.05182
278,43,-6.74246
278,44,-6.43951
278,45,-6.1427
278,46,-5.85178
278,47,-5.56647
278,48,-5.28662
278,49,-5.01196
278,50,-4.74228
278,51,-4.47745
278,52,-4.21722
278,53,-3.96149
278,54,-3.71002
278,55,-3.46274
278,56,-3.21948
278,57,-2.9801
278,58,-2.74445
278,59,-2.51242
278,60,-2.28394
278,61,-2.05884
278,62,-1.83701
278,63,-1.61841
278,64,-1.40289
278,65,-1.19037
278,66,-0.980804
278,67,-0.774048
278,68,-0.570038
278,69,-0.368713
278,70,-0.170013
278,71,0.0261536
278,72,0.219879
278,73,0.411194
278,74,0.600159
278,75,0.786835
278,76,0.971283
278,77,1.15359
278,78,1.33377
278,79,1.5119
278,80,1.68799
278,81,1.86212
278,82,2.03436
278,83,2.20471
278,84,2.3732
278,85,2.53992
278,86,2.7049
278,87,2.86813
278,88,3.02972
278,89,3.18967
278,90,3.34799
278,91,3.50476
278,92,3.65997
278,93,3.81369
278,94,3.96594
278,95,4.11673
278,96,4.26611
278,97,4.41412
278,98,4.56073
278,99,4.70602
278,100,4.85001
279,1,-47.881
279,2,-41.1562
279,3,-37.0331
279,4,-34.0176
279,5,-31.6251
279,6,-29.6344
279,7,-27.9256
279,8,-26.4258
279,9,-25.0875
279,10,-23.8781
279,11,-22.7738
279,12,-21.7571
279,13,-20.8145
279,14,-19.9355
279,15,-19.1116
279,16,-18.336
279,17,-17.6032
279,18,-16.9084
279,19,-16.2476
279,20,-15.6176
279,21,-15.0155
279,22,-14.4388
279,23,-13.8853
279,24,-13.3531
279,25,-12.8406
279,26,-12.3463
279,27,-11.8689
279,28,-11.4072
279,29,-10.9601
279,30,-10.5267
279,31,-10.1062
279,32,-9.69778
279,33,-9.30072
279,34,-8.91434
279,35,-8.53809
279,36,-8.17139
279,37,-7.81378
279,38,-7.46478
279,39,-7.12396
279,40,-6.79092
279,41,-6.4653
279,42,-6.14676
279,43,-5.83499
279,44,-5.52966
279,45,-5.23053
279,46,-4.93735
279,47,-4.64984
279,48,-4.36777
279,49,-4.09094
279,50,-3.81918
279,51,-3.55225
279,52,-3.28998
279,53,-3.03223
279,54,-2.77878
279,55,-2.52957
279,56,-2.28436
279,57,-2.04309
279,58,-1.80557
279,59,-1.57172
279,60,-1.3414
279,61,-1.1145
279,62,-0.89093
279,63,-0.670593
279,64,-0.453339
279,65,-0.239166
279,66,-0.0278931
279,67,0.180511
279,68,0.386139
279,69,0.589081
279,70,0.789368
279,71,0.987122
279,72,1.18237
279,73,1.37521
279,74,1.5657
279,75,1.75391
279,76,1.93985
279,77,2.1236
279,78,2.30524
279,79,2.4848
279,80,2.66232
279,81,2.83786
279,82,3.01147
279,83,3.1832
279,84,3.35306
279,85,3.52112
279,86,3.68744
279,87,3.85202
279,88,4.01489
279,89,4.17615
279,90,4.33575
279,91,4.4938
279,92,4.65027
279,93,4.80524
279,94,4.95874
279,95,5.11075
279,96,5.26135
279,97,5.41055
279,98,5.55838
279,99,5.70486
279,100,5.85001
280,1,-47.2715
280,2,-40.503
280,3,-36.3523
280,4,-33.3164
280,5,-30.9074
280,6,-28.9029
280,7,-27.1821
280,8,-25.6717
280,9,-24.3239
280,10,-23.1058
280,11,-21.9936
280,12,-20.9695
280,13,-20.0201
280,14,-19.1347
280,15,-18.3047
280,16,-17.5235
280,17,-16.7852
280,18,-16.0853
280,19,-15.4196
280,20,-14.785
280,21,-14.1784
280,22,-13.5973
280,23,-13.0397
280,24,-12.5035
280,25,-11.9872
280,26,-11.4891
280,27,-11.0081
280,28,-10.5429
280,29,-10.0924
280,30,-9.65579
280,31,-9.23209
280,32,-8.82053
280,33,-8.42041
280,34,-8.03107
280,35,-7.65192
280,36,-7.28244
280,37,-6.92206
280,38,-6.57037
280,39,-6.2269
280,40,-5.8913
280,41,-5.56317
280,42,-5.24216
280,43,-4.92795
280,44,-4.62027
280,45,-4.31882
280,46,-4.02335
280,47,-3.73358
280,48,-3.44931
280,49,-3.17035
280,50,-2.89642
280,51,-2.62741
280,52,-2.3631
280,53,-2.1033
280,54,-1.84787
280,55,-1.59668
280,56,-1.34955
280,57,-1.10638
280,58,-0.867004
280,59,-0.631287
280,60,-0.399139
280,61,-0.170471
280,62,0.0548706
280,63,0.276978
280,64,0.495941
280,65,0.711823
280,66,0.924774
280,67,1.13483
280,68,1.3421
280,69,1.54666
280,70,1.74857
280,71,1.94788
280,72,2.14471
280,73,2.33908
280,74,2.5311
280,75,2.72079
280,76,2.90823
280,77,3.09348
280,78,3.27655
280,79,3.45755
280,80,3.63651
280,81,3.81348
280,82,3.98846
280,83,4.16159
280,84,4.33282
280,85,4.50226
280,86,4.66989
280,87,4.83578
280,88,5
280,89,5.16254
280,90,5.32346
280,91,5.48279
280,92,5.64053
280,93,5.79675
280,94,5.95148
280,95,6.10474
280,96,6.25656
280,97,6.40698
280,98,6.556
280,99,6.70367
280,100,6.85001
281,1,-46.6633
281,2,-39.8511
281,3,-35.6729
281,4,-32.6164
281,5,-30.1909
281,6,-28.1725
281,7,-26.4396
281,8,-24.9186
281,9,-23.5613
281,10,-22.3345
281,11,-21.2143
281,12,-20.1829
281,13,-19.2266
281,14,-18.3347
281,15,-17.4988
281,16,-16.7118
281,17,-15.9681
281,18,-15.263
281,19,-14.5925
281,20,-13.9531
281,21,-13.342
281,22,-12.7566
281,23,-12.1948
281,24,-11.6546
281,25,-11.1344
281,26,-10.6326
281,27,-10.148
281,28,-9.67926
281,29,-9.2254
281,30,-8.78543
281,31,-8.35852
281,32,-7.94382
281,33,-7.54065
281,34,-7.14835
281,35,-6.7663
281,36,-6.39398
281,37,-6.03085
281,38,-5.67645
281,39,-5.33035
281,40,-4.99216
281,41,-4.6615
281,42,-4.33801
281,43,-4.02139
281,44,-3.7113
281,45,-3.40753
281,46,-3.10974
281,47,-2.81772
281,48,-2.53125
281,49,-2.25009
281,50,-1.97406
281,51,-1.70294
281,52,-1.43655
281,53,-1.17474
281,54,-0.917297
281,55,-0.664154
281,56,-0.41507
281,57,-0.169983
281,58,0.0712891
281,59,0.308838
281,60,0.542816
281,61,0.773315
281,62,1.00043
281,63,1.22427
281,64,1.44498
281,65,1.6626
281,66,1.87723
281,67,2.08893
281,68,2.29785
281,69,2.50403
281,70,2.70752
281,71,2.90845
281,72,3.10684
281,73,3.30276
281,74,3.49631
281,75,3.68753
281,76,3.87646
281,77,4.06317
281,78,4.24774
281,79,4.43018
281,80,4.61057
281,81,4.78894
281,82,4.96536
281,83,5.13986
281,84,5.31247
281,85,5.48328
281,86,5.65225
281,87,5.81949
281,88,5.98502
281,89,6.1489
281,90,6.3111
281,91,6.47171
281,92,6.63074
281,93,6.78821
281,94,6.94418
281,95,7.09869
281,96,7.25174
281,97,7.40338
281,98,7.55362
281,99,7.70248
281,100,7.85001
282,1,-46.0567
282,2,-39.2006
282,3,-34.9946
282,4,-31.9176
282,5,-29.4755
282,6,-27.4432
282,7,-25.6983
282,8,-24.1666
282,9,-22.7997
282,10,-21.5642
282,11,-20.4361
282,12,-19.3972
282,13,-18.434
282,14,-17.5357
282,15,-16.6937
282,16,-15.901
282,17,-15.1519
282,18,-14.4416
282,19,-13.7661
282,20,-13.122
282,21,-12.5063
282,22,-11.9166
282,23,-11.3506
282,24,-10.8064
282,25,-10.2823
282,26,-9.77679
282,27,-9.28848
282,28,-8.81625
282,29,-8.35898
282,30,-7.91568
282,31,-7.48553
282,32,-7.06769
282,33,-6.66147
282,34,-6.26617
282,35,-5.88123
282,36,-5.50604
282,37,-5.14014
282,38,-4.78305
282,39,-4.4343
282,40,-4.09351
282,41,-3.76028
282,42,-3.43433
282,43,-3.11523
282,44,-2.8028
282,45,-2.49664
282,46,-2.19656
282,47,-1.90228
282,48,-1.61359
282,49,-1.33026
282,50,-1.05206
282,51,-0.778839
282,52,-0.510376
282,53,-0.24649
282,54,0.0129395
282,55,0.268066
282,56,0.519073
282,57,0.766113
282,58,1.00928
282,59,1.24869
282,60,1.4845
282,61,1.7168
282,62,1.94571
282,63,2.17133
282,64,2.39377
282,65,2.6131
282,66,2.82941
282,67,3.04282
282,68,3.25339
282,69,3.46118
282,70,3.66632
282,71,3.86884
282,72,4.06879
282,73,4.26627
282,74,4.46136
282,75,4.65408
282,76,4.84454
282,77,5.03275
282,78,5.21878
282,79,5.40268
282,80,5.5845
282,81,5.76431
282,82,5.94214
282,83,6.11801
282,84,6.29202
282,85,6.46417
282,86,6.63452
282,87,6.80313
282,88,6.96997
282,89,7.13516
282,90,7.29868
282,91,7.46057
282,92,7.62088
282,93,7.77963
282,94,7.93686
282,95,8.09262
282,96,8.24692
282,97,8.39975
282,98,8.55121
282,99,8.70129
282,100,8.85001
283,1,-45.4515
283,2,-38.5514
283,3,-34.3177
283,4,-31.22
283,5,-28.7613
283,6,-26.715
283,7,-24.958
283,8,-23.4156
283,9,-22.0391
283,10,-20.7949
283,11,-19.6587
283,12,-18.6125
283,13,-17.6423
283,14,-16.7375
283,15,-15.8894
283,16,-15.0909
283,17,-14.3364
283,18,-13.6209
283,19,-12.9405
283,20,-12.2916
283,21,-11.6714
283,22,-11.0774
283,23,-10.5072
283,24,-9.95892
283,25,-9.43091
283,26,-8.9216
283,27,-8.42966
283,28,-7.95386
283,29,-7.49316
283,30,-7.04654
283,31,-6.61313
283,32,-6.19214
283,33,-5.78284
283,34,-5.38455
283,35,-4.99667
283,36,-4.61865
283,37,-4.24997
283,38,-3.89014
283,39,-3.53873
283,40,-3.19531
283,41,-2.85956
283,42,-2.53107
283,43,-2.20956
283,44,-1.89468
283,45,-1.58618
283,46,-1.28378
283,47,-0.987244
283,48,-0.69632
283,49,-0.410797
283,50,-0.130432
283,51,0.144928
283,52,0.415466
283,53,0.681366
283,54,0.94281
283,55,1.19995
283,56,1.45294
283,57,1.70187
283,58,1.94693
283,59,2.18823
283,60,2.4259
283,61,2.66
283,62,2.89072
283,63,3.11813
283,64,3.34229
283,65,3.56335
283,66,3.78137
283,67,3.99646
283,68,4.20871
283,69,4.41815
283,70,4.62488
283,71,4.82901
283,72,5.03055
283,73,5.22961
283,74,5.42624
283,75,5.62048
283,76,5.81244
283,77,6.00214
283,78,6.18967
283,79,6.37503
283,80,6.55832
283,81,6.73953
283,82,6.91879
283,83,7.09607
283,84,7.27148
283,85,7.44501
283,86,7.61673
283,87,7.78665
283,88,7.95486
283,89,8.12134
283,90,8.28619
283,91,8.44937
283,92,8.61096
283,93,8.771
283,94,8.9295
283,95,9.08652
283,96,9.24203
283,97,9.39612
283,98,9.5488
283,99,9.70007
283,100,9.85001
284,1,-44.8477
284,2,-37.9035
284,3,-33.642
284,4,-30.5236
284,5,-28.0483
284,6,-25.988
284,7,-24.2188
284,8,-22.6657
284,9,-21.2796
284,10,-20.0266
284,11,-18.8823
284,12,-17.8286
284,13,-16.8516
284,14,-15.9403
284,15,-15.086
284,16,-14.2818
284,17,-13.5217
284,18,-12.801
284,19,-12.1156
284,20,-11.462
284,21,-10.8373
284,22,-10.2388
284,23,-9.66443
284,24,-9.11212
284,25,-8.58017
284,26,-8.06708
284,27,-7.57147
284,28,-7.09213
284,29,-6.62796
284,30,-6.17801
284,31,-5.74133
284,32,-5.31717
284,33,-4.90479
284,34,-4.50348
284,35,-4.11267
284,36,-3.73178
284,37,-3.36029
284,38,-2.99771
284,39,-2.64365
284,40,-2.29761
284,41,-1.95929
284,42,-1.6283
284,43,-1.30432
284,44,-0.98703
284,45,-0.676178
284,46,-0.37146
284,47,-0.0726318
284,48,0.220551
284,49,0.508301
284,50,0.790802
284,51,1.0683
284,52,1.34094
284,53,1.60892
284,54,1.87238
284,55,2.13153
284,56,2.38644
284,57,2.63736
284,58,2.88431
284,59,3.1275
284,60,3.367
284,61,3.60297
284,62,3.83548
284,63,4.06464
284,64,4.29059
284,65,4.51337
284,66,4.73312
284,67,4.94989
284,68,5.16379
284,69,5.37488
284,70,5.58325
284,71,5.78897
284,72,5.99213
284,73,6.19275
284,74,6.39093
284,75,6.58673
284,76,6.78021
284,77,6.97141
284,78,7.1604
284,79,7.34723
284,80,7.53198
284,81,7.71466
284,82,7.89532
284,83,8.07404
284,84,8.25082
284,85,8.42575
284,86,8.59882
284,87,8.77011
284,88,8.93967
284,89,9.10748
284,90,9.27362
284,91,9.43814
284,92,9.60101
284,93,9.76233
284,94,9.92212
284,95,10.0804
284,96,10.2372
284,97,10.3925
284,98,10.5464
284,99,10.6989
284,100,10.85
285,1,-44.2454
285,2,-37.257
285,3,-32.9676
285,4,-29.8284
285,5,-27.3364
285,6,-25.2621
285,7,-23.4807
285,8,-21.9168
285,9,-20.521
285,10,-19.2592
285,11,-18.1069
285,12,-17.0457
285,13,-16.0617
285,14,-15.1439
285,15,-14.2835
285,16,-13.4734
285,17,-12.7079
285,18,-11.982
285,19,-11.2916
285,20,-10.6332
285,21,-10.0039
285,22,-9.40103
285,23,-8.82239
285,24,-8.26602
285,25,-7.73013
285,26,-7.21323
285,27,-6.71393
285,28,-6.23102
285,29,-5.7634
285,30,-5.31006
285,31,-4.87012
285,32,-4.44278
285,33,-4.02728
285,34,-3.62299
285,35,-3.22922
285,36,-2.84546
285,37,-2.47113
285,38,-2.10583
285,39,-1.74905
285,40,-1.40039
285,41,-1.05948
285,42,-0.725983
285,43,-0.399536
285,44,-0.0798035
285,45,0.233429
285,46,0.540497
285,47,0.841614
285,48,1.13702
285,49,1.42697
285,50,1.71167
285,51,1.9913
285,52,2.26605
285,53,2.5361
285,54,2.80161
285,55,3.06274
285,56,3.31967
285,57,3.57251
285,58,3.82138
285,59,4.06647
285,60,4.30783
285,61,4.54562
285,62,4.77997
285,63,5.01093
285,64,5.23862
285,65,5.46317
285,66,5.6846
285,67,5.90308
285,68,6.11865
285,69,6.33142
285,70,6.54141
285,71,6.74875
285,72,6.95349
285,73,7.1557
285,74,7.35547
285,75,7.5528
285,76,7.7478
285,77,7.94052
285,78,8.13101
285,79,8.31934
285,80,8.50552
285,81,8.68964
285,82,8.87173
285,83,9.05188
285,84,9.23007
285,85,9.40637
285,86,9.58084
285,87,9.75348
285,88,9.92438
285,89,10.0935
285,90,10.261
285,91,10.4268
285,92,10.591
285,93,10.7536
285,94,10.9147
285,95,11.0742
285,96,11.2322
285,97,11.3888
285,98,11.5439
285,99,11.6977
285,100,11.85
286,1,-43.6445
286,2,-36.6118
286,3,-32.2945
286,4,-29.1345
286,5,-26.6257
286,6,-24.5373
286,7,-22.7437
286,8,-21.169
286,9,-19.7635
286,10,-18.4929
286,11,-17.3324
286,12,-16.2637
286,13,-15.2727
286,14,-14.3484
286,15,-13.4818
286,16,-12.666
286,17,-11.8949
286,18,-11.1637
286,19,-10.4683
286,20,-9.80511
286,21,-9.1712
286,22,-8.56396
286,23,-7.98108
286,24,-7.42059
286,25,-6.88077
286,26,-6.36005
286,27,-5.85703
286,28,-5.37054
286,29,-4.89944
286,30,-4.44272
286,31,-3.99951
286,32,-3.56897
286,33,-3.15036
286,34,-2.74301
286,35,-2.34628
286,36,-1.95963
286,37,-1.58249
286,38,-1.21442
286,39,-0.85495
286,40,-0.503662
286,41,-0.160156
286,42,0.175873
286,43,0.504822
286,44,0.826965
286,45,1.14261
286,46,1.452
286,47,1.75543
286,48,2.05313
286,49,2.34531
286,50,2.63217
286,51,2.91394
286,52,3.1908
286,53,3.46292
286,54,3.7305
286,55,3.99365
286,56,4.25256
286,57,4.50735
286,58,4.75815
286,59,5.00513
286,60,5.24838
286,61,5.48801
286,62,5.72415
286,63,5.95694
286,64,6.1864
286,65,6.41269
286,66,6.63586
286,67,6.85605
286,68,7.0733
286,69,7.28772
286,70,7.49939
286,71,7.70834
286,72,7.9147
286,73,8.1185
286,74,8.31979
286,75,8.51871
286,76,8.71524
286,77,8.90948
286,78,9.10147
286,79,9.29126
286,80,9.47894
286,81,9.66452
286,82,9.84805
286,83,10.0296
286,84,10.2092
286,85,10.3869
286,86,10.5627
286,87,10.7368
286,88,10.909
286,89,11.0795
286,90,11.2484
286,91,11.4155
286,92,11.581
286,93,11.7449
286,94,11.9072
286,95,12.068
286,96,12.2273
286,97,12.3851
286,98,12.5415
286,99,12.6964
286,100,12.85
287,1,-43.0451
287,2,-35.968
287,3,-31.6227
287,4,-28.4418
287,5,-25.9162
287,6,-23.8136
287,7,-22.0078
287,8,-20.4223
287,9,-19.007
287,10,-17.7275
287,11,-16.5589
287,12,-15.4827
287,13,-14.4847
287,14,-13.5537
287,15,-12.681
287,16,-11.8593
287,17,-11.0827
287,18,-10.3462
287,19,-9.64578
287,20,-8.97781
287,21,-8.33929
287,22,-7.7276
287,23,-7.14044
287,24,-6.57587
287,25,-6.03207
287,26,-5.50751
287,27,-5.00079
