 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
Temperature (K), Relative Humidity (%), Dew Temperature (C)
273,1,-51.5687
273,2,-45.1038
273,3,-41.1442
273,4,-38.2504
273,5,-35.9555
273,6,-34.047
273,7,-32.4092
273,8,-30.9722
273,9,-29.6904
273,10,-28.5322
273,11,-27.475
273,12,-26.5018
273,13,-25.5997
273,14,-24.7586
273,15,-23.9704
273,16,-23.2286
273,17,-22.5277
273,18,-21.8633
273,19,-21.2315
273,20,-20.6292
273,21,-20.0537
273,22,-19.5024
273,23,-18.9735
273,24,-18.4649
273,25,-17.9753
273,26,-17.503
273,27,-17.0469
273,28,-16.6059
273,29,-16.1789
273,30,-15.765
273,31,-15.3634
273,32,-14.9734
273,33,-14.5943
273,34,-14.2254
273,35,-13.8662
273,36,-13.5161
273,37,-13.1748
273,38,-12.8417
273,39,-12.5164
273,40,-12.1986
273,41,-11.8878
273,42,-11.5839
273,43,-11.2864
273,44,-10.9951
273,45,-10.7097
273,46,-10.43
273,47,-10.1557
273,48,-9.88666
273,49,-9.62262
273,50,-9.3634
273,51,-9.10883
273,52,-8.8587
273,53,-8.61292
273,54,-8.37125
273,55,-8.13358
273,56,-7.89978
273,57,-7.66974
273,58,-7.4433
273,59,-7.22034
273,60,-7.00079
273,61,-6.78448
273,62,-6.57138
273,63,-6.36133
273,64,-6.15427
273,65,-5.9501
273,66,-5.74878
273,67,-5.55014
273,68,-5.35419
273,69,-5.1608
273,70,-4.96994
273,71,-4.78149
273,72,-4.59546
273,73,-4.41171
273,74,-4.23022
273,75,-4.05093
273,76,-3.87378
273,77,-3.6987
273,78,-3.52567
273,79,-3.35461
273,80,-3.18552
273,81,-3.01831
273,82,-2.85294
273,83,-2.68939
273,84,-2.52759
273,85,-2.36752
273,86,-2.20914
273,87,-2.0524
273,88,-1.89728
273,89,-1.74371
273,90,-1.59174
273,91,-1.44122
273,92,-1.29224
273,93,-1.14468
273,94,-0.998535
273,95,-0.85379
273,96,-0.710419
273,97,-0.568359
273,98,-0.427643
273,99,-0.288177
273,100,-0.149994
274,1,-50.9505
274,2,-44.4426
274,3,-40.4559
274,4,-37.5419
274,5,-35.2309
274,6,-33.3088
274,7,-31.6592
274,8,-30.2119
274,9,-28.9207
274,10,-27.7541
274,11,-26.6891
274,12,-25.7087
274,13,-24.7999
274,14,-23.9526
274,15,-23.1585
274,16,-22.4111
274,17,-21.7049
274,18,-21.0355
274,19,-20.3989
274,20,-19.7921
274,21,-19.2121
274,22,-18.6567
274,23,-18.1237
274,24,-17.6113
274,25,-17.1178
274,26,-16.6419
274,27,-16.1823
274,28,-15.7379
274,29,-15.3076
274,30,-14.8905
274,31,-14.4858
274,32,-14.0927
274,33,-13.7106
274,34,-13.3389
274,35,-12.9768
274,36,-12.6241
274,37,-12.28
274,38,-11.9443
274,39,-11.6165
274,40,-11.2961
274,41,-10.9829
274,42,-10.6766
274,43,-10.3767
274,44,-10.0831
274,45,-9.79547
274,46,-9.51355
274,47,-9.23709
274,48,-8.96588
274,49,-8.69974
274,50,-8.43845
274,51,-8.18182
274,52,-7.92972
