 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
Temperature (K), Mixing Ratio (KG/KG), Pressure (Pa)
176,0.02,11500,1.49755e+07
176,0.02,12000,1.56266e+07
176,0.02,12500,1.62778e+07
176,0.02,13000,1.69289e+07
176,0.02,13500,1.758e+07
176,0.02,14000,1.82311e+07
176,0.02,14500,1.88822e+07
176,0.02,15000,1.95333e+07
176,0.03,10000,1.95333e+07
176,0.03,10500,2.051e+07
176,0.03,11000,2.14866e+07
176,0.03,11500,2.24633e+07
176,0.03,12000,2.344e+07
176,0.03,12500,2.44166e+07
176,0.03,13000,2.53933e+07
176,0.03,13500,2.637e+07
176,0.03,14000,2.73466e+07
176,0.03,14500,2.83233e+07
176,0.03,15000,2.93e+07
176,0.04,10000,2.60444e+07
176,0.04,10500,2.73466e+07
176,0.04,11000,2.86489e+07
176,0.04,11500,2.99511e+07
176,0.04,12000,3.12533e+07
176,0.04,12500,3.25555e+07
176,0.04,13000,3.38577e+07
176,0.04,13500,3.516e+07
176,0.04,14000,3.64622e+07
176,0.04,14500,3.77644e+07
176,0.04,15000,3.90666e+07
176,0.05,10000,3.25555e+07
176,0.05,10500,3.41833e+07
176,0.05,11000,3.58111e+07
176,0.05,11500,3.74388e+07
176,0.05,12000,3.90666e+07
176,0.05,12500,4.06944e+07
176,0.05,13000,4.23222e+07
176,0.05,13500,4.39499e+07
176,0.05,14000,4.55777e+07
176,0.05,14500,4.72055e+07
176,0.05,15000,4.88333e+07
177,0.01,10000,5.34652e+06
177,0.01,10500,5.61385e+06
177,0.01,11000,5.88118e+06
177,0.01,11500,6.1485e+06
177,0.01,12000,6.41583e+06
177,0.01,12500,6.68315e+06
177,0.01,13000,6.95048e+06
177,0.01,13500,7.21781e+06
177,0.01,14000,7.48513e+06
177,0.01,14500,7.75246e+06
177,0.01,15000,8.01978e+06
177,0.02,10000,1.0693e+07
177,0.02,10500,1.12277e+07
177,0.02,11000,1.17624e+07
177,0.02,11500,1.2297e+07
177,0.02,12000,1.28317e+07
177,0.02,12500,1.33663e+07
177,0.02,13000,1.3901e+07
177,0.02,13500,1.44356e+07
177,0.02,14000,1.49703e+07
177,0.02,14500,1.55049e+07
177,0.02,15000,1.60396e+07
177,0.03,10000,1.60396e+07
177,0.03,10500,1.68415e+07
177,0.03,11000,1.76435e+07
177,0.03,11500,1.84455e+07
177,0.03,12000,1.92475e+07
177,0.03,12500,2.00495e+07
177,0.03,13000,2.08514e+07
177,0.03,13500,2.16534e+07
177,0.03,14000,2.24554e+07
177,0.03,14500,2.32574e+07
177,0.03,15000,2.40594e+07
177,0.04,10000,2.13861e+07
177,0.04,10500,2.24554e+07
177,0.04,11000,2.35247e+07
177,0.04,11500,2.4594e+07
177,0.04,12000,2.56633e+07
177,0.04,12500,2.67326e+07
177,0.04,13000,2.78019e+07
177,0.04,13500,2.88712e+07
177,0.04,14000,2.99405e+07
177,0.04,14500,3.10098e+07
177,0.04,15000,3.20791e+07
177,0.05,10000,2.67326e+07
177,0.05,10500,2.80692e+07
177,0.05,11000,2.94059e+07
177,0.05,11500,3.07425e+07
177,0.05,12000,3.20791e+07
177,0.05,12500,3.34158e+07
177,0.05,13000,3.47524e+07
177,0.05,13500,3.6089e+07
177,0.05,14000,3.74257e+07
177,0.05,14500,3.87623e+07
177,0.05,15000,4.00989e+07
178,0.01,10000,4.39994e+06
178,0.01,10500,4.61994e+06
178,0.01,11000,4.83994e+06
178,0.01,11500,5.05993e+06
178,0.01,12000,5.27993e+06
178,0.01,12500,5.49993e+06
178,0.01,13000,5.71992e+06
178,0.01,13500,5.93992e+06
178,0.01,14000,6.15992e+06
178,0.01,14500,6.37991e+06
178,0.01,15000,6.59991e+06
178,0.02,10000,8.79988e+06
178,0.02,10500,9.23988e+06
178,0.02,11000,9.67987e+06
178,0.02,11500,1.01199e+07
178,0.02,12000,1.05599e+07
178,0.02,12500,1.09999e+07
178,0.02,13000,1.14398e+07
178,0.02,13500,1.18798e+07
178,0.02,14000,1.23198e+07
178,0.02,14500,1.27598e+07
178,0.02,15000,1.31998e+07
178,0.03,10000,1.31998e+07
178,0.03,10500,1.38598e+07
178,0.03,11000,1.45198e+07
178,0.03,11500,1.51798e+07
178,0.03,12000,1.58398e+07
178,0.03,12500,1.64998e+07
178,0.03,13000,1.71598e+07
178,0.03,13500,1.78198e+07
178,0.03,14000,1.84798e+07
178,0.03,14500,1.91397e+07
178,0.03,15000,1.97997e+07
178,0.04,10000,1.75998e+07
178,0.04,10500,1.84798e+07
178,0.04,11000,1.93597e+07
178,0.04,11500,2.02397e+07
178,0.04,12000,2.11197e+07
178,0.04,12500,2.19997e+07
178,0.04,13000,2.28797e+07
178,0.04,13500,2.37597e+07
178,0.04,14000,2.46397e+07
178,0.04,14500,2.55197e+07
178,0.04,15000,2.63996e+07
178,0.05,10000,2.19997e+07
178,0.05,10500,2.30997e+07
178,0.05,11000,2.41997e+07
178,0.05,11500,2.52997e+07
178,0.05,12000,2.63996e+07
178,0.05,12500,2.74996e+07
178,0.05,13000,2.85996e+07
178,0.05,13500,2.96996e+07
178,0.05,14000,3.07996e+07
178,0.05,14500,3.18996e+07
178,0.05,15000,3.29996e+07
179,0.01,10000,3.62882e+06
179,0.01,10500,3.81026e+06
179,0.01,11000,3.9917e+06
179,0.01,11500,4.17314e+06
179,0.01,12000,4.35458e+06
179,0.01,12500,4.53602e+06
179,0.01,13000,4.71746e+06
179,0.01,13500,4.8989e+06
179,0.01,14000,5.08034e+06
179,0.01,14500,5.26178e+06
179,0.01,15000,5.44322e+06
179,0.02,10000,7.25763e+06
179,0.02,10500,7.62051e+06
179,0.02,11000,7.98339e+06
179,0.02,11500,8.34628e+06
179,0.02,12000,8.70916e+06
179,0.02,12500,9.07204e+06
179,0.02,13000,9.43492e+06
179,0.02,13500,9.7978e+06
179,0.02,14000,1.01607e+07
179,0.02,14500,1.05236e+07
179,0.02,15000,1.08864e+07
179,0.03,10000,1.08864e+07
179,0.03,10500,1.14308e+07
179,0.03,11000,1.19751e+07
179,0.03,11500,1.25194e+07
179,0.03,12000,1.30637e+07
179,0.03,12500,1.36081e+07
179,0.03,13000,1.41524e+07
179,0.03,13500,1.46967e+07
179,0.03,14000,1.5241e+07
179,0.03,14500,1.57853e+07
179,0.03,15000,1.63297e+07
179,0.04,10000,1.45153e+07
179,0.04,10500,1.5241e+07
179,0.04,11000,1.59668e+07
179,0.04,11500,1.66926e+07
179,0.04,12000,1.74183e+07
179,0.04,12500,1.81441e+07
179,0.04,13000,1.88698e+07
179,0.04,13500,1.95956e+07
179,0.04,14000,2.03214e+07
179,0.04,14500,2.10471e+07
179,0.04,15000,2.17729e+07
179,0.05,10000,1.81441e+07
179,0.05,10500,1.90513e+07
179,0.05,11000,1.99585e+07
179,0.05,11500,2.08657e+07
179,0.05,12000,2.17729e+07
179,0.05,12500,2.26801e+07
179,0.05,13000,2.35873e+07
179,0.05,13500,2.44945e+07
179,0.05,14000,2.54017e+07
179,0.05,14500,2.63089e+07
179,0.05,15000,2.72161e+07
180,0.01,10000,2.99923e+06
180,0.01,10500,3.14919e+06
180,0.01,11000,3.29915e+06
180,0.01,11500,3.44911e+06
180,0.01,12000,3.59908e+06
180,0.01,12500,3.74904e+06
180,0.01,13000,3.899e+06
180,0.01,13500,4.04896e+06
180,0.01,14000,4.19892e+06
180,0.01,14500,4.34888e+06
180,0.01,15000,4.49884e+06
180,0.02,10000,5.99846e+06
180,0.02,10500,6.29838e+06
180,0.02,11000,6.59831e+06
180,0.02,11500,6.89823e+06
180,0.02,12000,7.19815e+06
180,0.02,12500,7.49808e+06
180,0.02,13000,7.798e+06
180,0.02,13500,8.09792e+06
180,0.02,14000,8.39784e+06
180,0.02,14500,8.69777e+06
180,0.02,15000,8.99769e+06
180,0.03,10000,8.99769e+06
180,0.03,10500,9.44757e+06
180,0.03,11000,9.89746e+06
180,0.03,11500,1.03473e+07
180,0.03,12000,1.07972e+07
180,0.03,12500,1.12471e+07
180,0.03,13000,1.1697e+07
180,0.03,13500,1.21469e+07
180,0.03,14000,1.25968e+07
180,0.03,14500,1.30467e+07
180,0.03,15000,1.34965e+07
180,0.04,10000,1.19969e+07
180,0.04,10500,1.25968e+07
180,0.04,11000,1.31966e+07
180,0.04,11500,1.37965e+07
180,0.04,12000,1.43963e+07
180,0.04,12500,1.49962e+07
180,0.04,13000,1.5596e+07
180,0.04,13500,1.61958e+07
180,0.04,14000,1.67957e+07
180,0.04,14500,1.73955e+07
180,0.04,15000,1.79954e+07
180,0.05,10000,1.49961e+07
180,0.05,10500,1.5746e+07
180,0.05,11000,1.64958e+07
180,0.05,11500,1.72456e+07
180,0.05,12000,1.79954e+07
180,0.05,12500,1.87452e+07
180,0.05,13000,1.9495e+07
180,0.05,13500,2.02448e+07
180,0.05,14000,2.09946e+07
180,0.05,14500,2.17444e+07
180,0.05,15000,2.24942e+07
181,0.01,10000,2.48408e+06
181,0.01,10500,2.60829e+06
181,0.01,11000,2.73249e+06
181,0.01,11500,2.8567e+06
181,0.01,12000,2.9809e+06
181,0.01,12500,3.1051e+06
181,0.01,13000,3.22931e+06
181,0.01,13500,3.35351e+06
181,0.01,14000,3.47772e+06
181,0.01,14500,3.60192e+06
181,0.01,15000,3.72613e+06
181,0.02,10000,4.96817e+06
181,0.02,10500,5.21658e+06
181,0.02,11000,5.46498e+06
181,0.02,11500,5.71339e+06
181,0.02,12000,5.9618e+06
181,0.02,12500,6.21021e+06
181,0.02,13000,6.45862e+06
181,0.02,13500,6.70703e+06
181,0.02,14000,6.95544e+06
181,0.02,14500,7.20384e+06
181,0.02,15000,7.45225e+06
181,0.03,10000,7.45225e+06
181,0.03,10500,7.82486e+06
181,0.03,11000,8.19748e+06
181,0.03,11500,8.57009e+06
181,0.03,12000,8.9427e+06
181,0.03,12500,9.31532e+06
181,0.03,13000,9.68793e+06
181,0.03,13500,1.00605e+07
181,0.03,14000,1.04332e+07
181,0.03,14500,1.08058e+07
181,0.03,15000,1.11784e+07
181,0.04,10000,9.93634e+06
181,0.04,10500,1.04332e+07
181,0.04,11000,1.093e+07
181,0.04,11500,1.14268e+07
181,0.04,12000,1.19236e+07
181,0.04,12500,1.24204e+07
181,0.04,13000,1.29172e+07
181,0.04,13500,1.34141e+07
181,0.04,14000,1.39109e+07
181,0.04,14500,1.44077e+07
181,0.04,15000,1.49045e+07
181,0.05,10000,1.24204e+07
181,0.05,10500,1.30414e+07
181,0.05,11000,1.36625e+07
181,0.05,11500,1.42835e+07
181,0.05,12000,1.49045e+07
181,0.05,12500,1.55255e+07
181,0.05,13000,1.61465e+07
181,0.05,13500,1.67676e+07
181,0.05,14000,1.73886e+07
181,0.05,14500,1.80096e+07
181,0.05,15000,1.86306e+07
182,0.01,10000,2.06167e+06
182,0.01,10500,2.16475e+06
182,0.01,11000,2.26784e+06
182,0.01,11500,2.37092e+06
182,0.01,12000,2.47401e+06
182,0.01,12500,2.57709e+06
182,0.01,13000,2.68017e+06
182,0.01,13500,2.78326e+06
182,0.01,14000,2.88634e+06
182,0.01,14500,2.98942e+06
182,0.01,15000,3.09251e+06
182,0.02,10000,4.12334e+06
182,0.02,10500,4.32951e+06
182,0.02,11000,4.53568e+06
182,0.02,11500,4.74184e+06
182,0.02,12000,4.94801e+06
182,0.02,12500,5.15418e+06
182,0.02,13000,5.36035e+06
182,0.02,13500,5.56651e+06
182,0.02,14000,5.77268e+06
182,0.02,14500,5.97885e+06
182,0.02,15000,6.18501e+06
182,0.03,10000,6.18501e+06
182,0.03,10500,6.49426e+06
182,0.03,11000,6.80352e+06
182,0.03,11500,7.11277e+06
182,0.03,12000,7.42202e+06
182,0.03,12500,7.73127e+06
182,0.03,13000,8.04052e+06
182,0.03,13500,8.34977e+06
182,0.03,14000,8.65902e+06
182,0.03,14500,8.96827e+06
182,0.03,15000,9.27752e+06
182,0.04,10000,8.24668e+06
182,0.04,10500,8.65902e+06
182,0.04,11000,9.07135e+06
182,0.04,11500,9.48369e+06
182,0.04,12000,9.89602e+06
182,0.04,12500,1.03084e+07
182,0.04,13000,1.07207e+07
182,0.04,13500,1.1133e+07
182,0.04,14000,1.15454e+07
182,0.04,14500,1.19577e+07
182,0.04,15000,1.237e+07
182,0.05,10000,1.03084e+07
182,0.05,10500,1.08238e+07
182,0.05,11000,1.13392e+07
182,0.05,11500,1.18546e+07
182,0.05,12000,1.237e+07
182,0.05,12500,1.28854e+07
182,0.05,13000,1.34009e+07
182,0.05,13500,1.39163e+07
182,0.05,14000,1.44317e+07
182,0.05,14500,1.49471e+07
182,0.05,15000,1.54625e+07
183,0.01,10000,1.71457e+06
183,0.01,10500,1.8003e+06
183,0.01,11000,1.88602e+06
183,0.01,11500,1.97175e+06
183,0.01,12000,2.05748e+06
183,0.01,12500,2.14321e+06
183,0.01,13000,2.22894e+06
183,0.01,13500,2.31467e+06
183,0.01,14000,2.40039e+06
183,0.01,14500,2.48612e+06
183,0.01,15000,2.57185e+06
183,0.02,10000,3.42913e+06
183,0.02,10500,3.60059e+06
183,0.02,11000,3.77205e+06
183,0.02,11500,3.9435e+06
183,0.02,12000,4.11496e+06
183,0.02,12500,4.28642e+06
183,0.02,13000,4.45787e+06
183,0.02,13500,4.62933e+06
183,0.02,14000,4.80079e+06
183,0.02,14500,4.97224e+06
183,0.02,15000,5.1437e+06
183,0.03,10000,5.1437e+06
183,0.03,10500,5.40089e+06
183,0.03,11000,5.65807e+06
183,0.03,11500,5.91526e+06
183,0.03,12000,6.17244e+06
183,0.03,12500,6.42963e+06
183,0.03,13000,6.68681e+06
183,0.03,13500,6.944e+06
183,0.03,14000,7.20118e+06
183,0.03,14500,7.45837e+06
183,0.03,15000,7.71555e+06
183,0.04,10000,6.85827e+06
183,0.04,10500,7.20118e+06
183,0.04,11000,7.5441e+06
183,0.04,11500,7.88701e+06
183,0.04,12000,8.22992e+06
183,0.04,12500,8.57284e+06
183,0.04,13000,8.91575e+06
183,0.04,13500,9.25866e+06
183,0.04,14000,9.60158e+06
183,0.04,14500,9.94449e+06
183,0.04,15000,1.02874e+07
183,0.05,10000,8.57284e+06
183,0.05,10500,9.00148e+06
183,0.05,11000,9.43012e+06
183,0.05,11500,9.85876e+06
183,0.05,12000,1.02874e+07
183,0.05,12500,1.0716e+07
183,0.05,13000,1.11447e+07
183,0.05,13500,1.15733e+07
183,0.05,14000,1.2002e+07
183,0.05,14500,1.24306e+07
183,0.05,15000,1.28593e+07
184,0.01,10000,1.42875e+06
184,0.01,10500,1.50019e+06
184,0.01,11000,1.57163e+06
184,0.01,11500,1.64307e+06
184,0.01,12000,1.7145e+06
184,0.01,12500,1.78594e+06
184,0.01,13000,1.85738e+06
184,0.01,13500,1.92882e+06
184,0.01,14000,2.00025e+06
184,0.01,14500,2.07169e+06
184,0.01,15000,2.14313e+06
184,0.02,10000,2.85751e+06
184,0.02,10500,3.00038e+06
184,0.02,11000,3.14326e+06
184,0.02,11500,3.28613e+06
184,0.02,12000,3.42901e+06
184,0.02,12500,3.57188e+06
184,0.02,13000,3.71476e+06
184,0.02,13500,3.85763e+06
184,0.02,14000,4.00051e+06
184,0.02,14500,4.14338e+06
184,0.02,15000,4.28626e+06
184,0.03,10000,4.28626e+06
184,0.03,10500,4.50057e+06
184,0.03,11000,4.71489e+06
184,0.03,11500,4.9292e+06
184,0.03,12000,5.14351e+06
184,0.03,12500,5.35782e+06
184,0.03,13000,5.57214e+06
184,0.03,13500,5.78645e+06
184,0.03,14000,6.00076e+06
184,0.03,14500,6.21508e+06
184,0.03,15000,6.42939e+06
184,0.04,10000,5.71501e+06
184,0.04,10500,6.00076e+06
184,0.04,11000,6.28651e+06
184,0.04,11500,6.57226e+06
184,0.04,12000,6.85802e+06
184,0.04,12500,7.14377e+06
184,0.04,13000,7.42952e+06
184,0.04,13500,7.71527e+06
184,0.04,14000,8.00102e+06
184,0.04,14500,8.28677e+06
184,0.04,15000,8.57252e+06
184,0.05,10000,7.14376e+06
184,0.05,10500,7.50095e+06
184,0.05,11000,7.85814e+06
184,0.05,11500,8.21533e+06
184,0.05,12000,8.57252e+06
184,0.05,12500,8.92971e+06
184,0.05,13000,9.2869e+06
184,0.05,13500,9.64408e+06
184,0.05,14000,1.00013e+07
184,0.05,14500,1.03585e+07
184,0.05,15000,1.07156e+07
185,0.01,10000,1.19293e+06
185,0.01,10500,1.25257e+06
185,0.01,11000,1.31222e+06
185,0.01,11500,1.37186e+06
185,0.01,12000,1.43151e+06
185,0.01,12500,1.49116e+06
185,0.01,13000,1.5508e+06
185,0.01,13500,1.61045e+06
185,0.01,14000,1.6701e+06
185,0.01,14500,1.72974e+06
185,0.01,15000,1.78939e+06
185,0.02,10000,2.38585e+06
185,0.02,10500,2.50514e+06
185,0.02,11000,2.62444e+06
185,0.02,11500,2.74373e+06
185,0.02,12000,2.86302e+06
185,0.02,12500,2.98232e+06
185,0.02,13000,3.10161e+06
185,0.02,13500,3.2209e+06
185,0.02,14000,3.34019e+06
185,0.02,14500,3.45949e+06
185,0.02,15000,3.57878e+06
185,0.03,10000,3.57878e+06
185,0.03,10500,3.75772e+06
185,0.03,11000,3.93666e+06
185,0.03,11500,4.11559e+06
185,0.03,12000,4.29453e+06
185,0.03,12500,4.47347e+06
185,0.03,13000,4.65241e+06
185,0.03,13500,4.83135e+06
185,0.03,14000,5.01029e+06
185,0.03,14500,5.18923e+06
185,0.03,15000,5.36817e+06
185,0.04,10000,4.7717e+06
185,0.04,10500,5.01029e+06
185,0.04,11000,5.24887e+06
185,0.04,11500,5.48746e+06
185,0.04,12000,5.72604e+06
185,0.04,12500,5.96463e+06
185,0.04,13000,6.20322e+06
185,0.04,13500,6.4418e+06
185,0.04,14000,6.68039e+06
185,0.04,14500,6.91897e+06
185,0.04,15000,7.15756e+06
185,0.05,10000,5.96463e+06
185,0.05,10500,6.26286e+06
185,0.05,11000,6.56109e+06
185,0.05,11500,6.85932e+06
185,0.05,12000,7.15756e+06
185,0.05,12500,7.45579e+06
185,0.05,13000,7.75402e+06
185,0.05,13500,8.05225e+06
185,0.05,14000,8.35048e+06
185,0.05,14500,8.64871e+06
185,0.05,15000,8.94695e+06
186,0.01,10000,997952
186,0.01,10500,1.04785e+06
186,0.01,11000,1.09775e+06
186,0.01,11500,1.14764e+06
186,0.01,12000,1.19754e+06
186,0.01,12500,1.24744e+06
186,0.01,13000,1.29734e+06
186,0.01,13500,1.34724e+06
186,0.01,14000,1.39713e+06
186,0.01,14500,1.44703e+06
186,0.01,15000,1.49693e+06
186,0.02,10000,1.9959e+06
186,0.02,10500,2.0957e+06
186,0.02,11000,2.19549e+06
186,0.02,11500,2.29529e+06
186,0.02,12000,2.39509e+06
186,0.02,12500,2.49488e+06
186,0.02,13000,2.59468e+06
186,0.02,13500,2.69447e+06
186,0.02,14000,2.79427e+06
186,0.02,14500,2.89406e+06
186,0.02,15000,2.99386e+06
186,0.03,10000,2.99386e+06
186,0.03,10500,3.14355e+06
186,0.03,11000,3.29324e+06
186,0.03,11500,3.44293e+06
186,0.03,12000,3.59263e+06
186,0.03,12500,3.74232e+06
186,0.03,13000,3.89201e+06
186,0.03,13500,4.04171e+06
186,0.03,14000,4.1914e+06
186,0.03,14500,4.34109e+06
186,0.03,15000,4.49078e+06
186,0.04,10000,3.99181e+06
186,0.04,10500,4.1914e+06
186,0.04,11000,4.39099e+06
186,0.04,11500,4.59058e+06
186,0.04,12000,4.79017e+06
186,0.04,12500,4.98976e+06
186,0.04,13000,5.18935e+06
186,0.04,13500,5.38894e+06
186,0.04,14000,5.58853e+06
186,0.04,14500,5.78812e+06
186,0.04,15000,5.98771e+06
186,0.05,10000,4.98976e+06
186,0.05,10500,5.23925e+06
186,0.05,11000,5.48874e+06
186,0.05,11500,5.73822e+06
186,0.05,12000,5.98771e+06
186,0.05,12500,6.2372e+06
186,0.05,13000,6.48669e+06
186,0.05,13500,6.73618e+06
186,0.05,14000,6.98566e+06
186,0.05,14500,7.23515e+06
186,0.05,15000,7.48464e+06
187,0.01,10000,836435
187,0.01,10500,878257
187,0.01,11000,920079
187,0.01,11500,961900
187,0.01,12000,1.00372e+06
187,0.01,12500,1.04554e+06
187,0.01,13000,1.08737e+06
187,0.01,13500,1.12919e+06
187,0.01,14000,1.17101e+06
187,0.01,14500,1.21283e+06
187,0.01,15000,1.25465e+06
187,0.02,10000,1.67287e+06
187,0.02,10500,1.75651e+06
187,0.02,11000,1.84016e+06
187,0.02,11500,1.9238e+06
187,0.02,12000,2.00744e+06
187,0.02,12500,2.09109e+06
187,0.02,13000,2.17473e+06
187,0.02,13500,2.25838e+06
187,0.02,14000,2.34202e+06
187,0.02,14500,2.42566e+06
187,0.02,15000,2.50931e+06
187,0.03,10000,2.50931e+06
187,0.03,10500,2.63477e+06
187,0.03,11000,2.76024e+06
187,0.03,11500,2.8857e+06
187,0.03,12000,3.01117e+06
187,0.03,12500,3.13663e+06
187,0.03,13000,3.2621e+06
187,0.03,13500,3.38756e+06
187,0.03,14000,3.51303e+06
187,0.03,14500,3.63849e+06
187,0.03,15000,3.76396e+06
187,0.04,10000,3.34574e+06
187,0.04,10500,3.51303e+06
187,0.04,11000,3.68032e+06
187,0.04,11500,3.8476e+06
187,0.04,12000,4.01489e+06
187,0.04,12500,4.18218e+06
187,0.04,13000,4.34946e+06
