 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
Temperature (K), Mixing Ratio (KG/KG), Pressure (Pa)
173,0.01,10000,1.19212e+07
173,0.01,10500,1.25173e+07
173,0.01,11000,1.31134e+07
173,0.01,11500,1.37094e+07
173,0.01,12000,1.43055e+07
173,0.01,12500,1.49015e+07
173,0.01,13000,1.54976e+07
173,0.01,13500,1.60937e+07
173,0.01,14000,1.66897e+07
173,0.01,14500,1.72858e+07
173,0.01,15000,1.78819e+07
173,0.02,10000,2.38425e+07
173,0.02,10500,2.50346e+07
173,0.02,11000,2.62267e+07
173,0.02,11500,2.74188e+07
173,0.02,12000,2.8611e+07
173,0.02,12500,2.98031e+07
173,0.02,13000,3.09952e+07
173,0.02,13500,3.21873e+07
173,0.02,14000,3.33795e+07
173,0.02,14500,3.45716e+07
173,0.02,15000,3.57637e+07
173,0.03,10000,3.57637e+07
173,0.03,10500,3.75519e+07
173,0.03,11000,3.93401e+07
173,0.03,11500,4.11283e+07
173,0.03,12000,4.29165e+07
173,0.03,12500,4.47046e+07
173,0.03,13000,4.64928e+07
173,0.03,13500,4.8281e+07
173,0.03,14000,5.00692e+07
173,0.03,14500,5.18574e+07
173,0.03,15000,5.36456e+07
173,0.04,10000,4.7685e+07
173,0.04,10500,5.00692e+07
173,0.04,11000,5.24534e+07
173,0.04,11500,5.48377e+07
173,0.04,12000,5.72219e+07
173,0.04,12500,5.96062e+07
173,0.04,13000,6.19904e+07
173,0.04,13500,6.43747e+07
173,0.04,14000,6.67589e+07
173,0.04,14500,6.91432e+07
173,0.04,15000,7.15274e+07
173,0.05,10000,5.96062e+07
173,0.05,10500,6.25865e+07
173,0.05,11000,6.55668e+07
173,0.05,11500,6.85471e+07
173,0.05,12000,7.15274e+07
173,0.05,12500,7.45077e+07
173,0.05,13000,7.7488e+07
173,0.05,13500,8.04684e+07
173,0.05,14000,8.34487e+07
173,0.05,14500,8.6429e+07
173,0.05,15000,8.94093e+07
174,0.01,10000,9.72216e+06
174,0.01,10500,1.02083e+07
174,0.01,11000,1.06944e+07
174,0.01,11500,1.11805e+07
174,0.01,12000,1.16666e+07
174,0.01,12500,1.21527e+07
174,0.01,13000,1.26388e+07
174,0.01,13500,1.31249e+07
174,0.01,14000,1.3611e+07
174,0.01,14500,1.40971e+07
174,0.01,15000,1.45832e+07
174,0.02,10000,1.94443e+07
174,0.02,10500,2.04165e+07
174,0.02,11000,2.13887e+07
174,0.02,11500,2.2361e+07
174,0.02,12000,2.33332e+07
174,0.02,12500,2.43054e+07
174,0.02,13000,2.52776e+07
174,0.02,13500,2.62498e+07
174,0.02,14000,2.7222e+07
174,0.02,14500,2.81943e+07
174,0.02,15000,2.91665e+07
174,0.03,10000,2.91665e+07
174,0.03,10500,3.06248e+07
174,0.03,11000,3.20831e+07
174,0.03,11500,3.35414e+07
174,0.03,12000,3.49998e+07
174,0.03,12500,3.64581e+07
174,0.03,13000,3.79164e+07
174,0.03,13500,3.93747e+07
174,0.03,14000,4.08331e+07
174,0.03,14500,4.22914e+07
174,0.03,15000,4.37497e+07
174,0.04,10000,3.88886e+07
174,0.04,10500,4.08331e+07
174,0.04,11000,4.27775e+07
174,0.04,11500,4.47219e+07
174,0.04,12000,4.66664e+07
174,0.04,12500,4.86108e+07
174,0.04,13000,5.05552e+07
174,0.04,13500,5.24996e+07
174,0.04,14000,5.44441e+07
174,0.04,14500,5.63885e+07
174,0.04,15000,5.83329e+07
174,0.05,10000,4.86108e+07
174,0.05,10500,5.10413e+07
174,0.05,11000,5.34719e+07
174,0.05,11500,5.59024e+07
174,0.05,12000,5.83329e+07
174,0.05,12500,6.07635e+07
174,0.05,13000,6.3194e+07
174,0.05,13500,6.56246e+07
174,0.05,14000,6.80551e+07
174,0.05,14500,7.04856e+07
174,0.05,15000,7.29162e+07
175,0.01,10000,7.94717e+06
175,0.01,10500,8.34453e+06
175,0.01,11000,8.74189e+06
175,0.01,11500,9.13925e+06
175,0.01,12000,9.53661e+06
175,0.01,12500,9.93397e+06
175,0.01,13000,1.03313e+07
175,0.01,13500,1.07287e+07
175,0.01,14000,1.1126e+07
175,0.01,14500,1.15234e+07
175,0.01,15000,1.19208e+07
175,0.02,10000,1.58943e+07
175,0.02,10500,1.66891e+07
175,0.02,11000,1.74838e+07
175,0.02,11500,1.82785e+07
175,0.02,12000,1.90732e+07
175,0.02,12500,1.98679e+07
175,0.02,13000,2.06627e+07
175,0.02,13500,2.14574e+07
175,0.02,14000,2.22521e+07
175,0.02,14500,2.30468e+07
175,0.02,15000,2.38415e+07
175,0.03,10000,2.38415e+07
175,0.03,10500,2.50336e+07
175,0.03,11000,2.62257e+07
175,0.03,11500,2.74178e+07
175,0.03,12000,2.86098e+07
175,0.03,12500,2.98019e+07
175,0.03,13000,3.0994e+07
175,0.03,13500,3.21861e+07
175,0.03,14000,3.33781e+07
175,0.03,14500,3.45702e+07
175,0.03,15000,3.57623e+07
175,0.04,10000,3.17887e+07
175,0.04,10500,3.33781e+07
175,0.04,11000,3.49676e+07
175,0.04,11500,3.6557e+07
175,0.04,12000,3.81464e+07
175,0.04,12500,3.97359e+07
175,0.04,13000,4.13253e+07
175,0.04,13500,4.29147e+07
175,0.04,14000,4.45042e+07
175,0.04,14500,4.60936e+07
175,0.04,15000,4.7683e+07
175,0.05,10000,3.97359e+07
175,0.05,10500,4.17227e+07
175,0.05,11000,4.37095e+07
175,0.05,11500,4.56963e+07
175,0.05,12000,4.7683e+07
175,0.05,12500,4.96698e+07
175,0.05,13000,5.16566e+07
175,0.05,13500,5.36434e+07
175,0.05,14000,5.56302e+07
175,0.05,14500,5.7617e+07
175,0.05,15000,5.96038e+07
176,0.01,10000,6.5111e+06
176,0.01,10500,6.83666e+06
176,0.01,11000,7.16221e+06
176,0.01,11500,7.48777e+06
176,0.01,12000,7.81332e+06
176,0.01,12500,8.13888e+06
176,0.01,13000,8.46444e+06
176,0.01,13500,8.78999e+06
176,0.01,14000,9.11554e+06
176,0.01,14500,9.4411e+06
176,0.01,15000,9.76666e+06
176,0.02,10000,1.30222e+07
176,0.02,10500,1.36733e+07
176,0.02,11000,1.43244e+07
