 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
Pressure (kPa), Psychrometric Constant (kPa/C)
1780,1.18324
1781,1.1839
1782,1.18457
1783,1.18523
1784,1.1859
1785,1.18656
1786,1.18723
1787,1.18789
1788,1.18856
1789,1.18922
1790,1.18988
1791,1.19055
1792,1.19121
1793,1.19188
1794,1.19254
1795,1.19321
1796,1.19387
1797,1.19454
1798,1.1952
1799,1.19587
1800,1.19653
1801,1.1972
1802,1.19786
1803,1.19853
1804,1.19919
1805,1.19986
1806,1.20052
1807,1.20119
1808,1.20185
1809,1.20251
1810,1.20318
1811,1.20384
1812,1.20451
1813,1.20517
1814,1.20584
1815,1.2065
1816,1.20717
1817,1.20783
1818,1.2085
1819,1.20916
1820,1.20983
1821,1.21049
1822,1.21116
1823,1.21182
1824,1.21249
1825,1.21315
1826,1.21382
1827,1.21448
1828,1.21514
1829,1.21581
1830,1.21647
1831,1.21714
1832,1.2178
1833,1.21847
1834,1.21913
1835,1.2198
1836,1.22046
1837,1.22113
1838,1.22179
1839,1.22246
1840,1.22312
1841,1.22379
1842,1.22445
1843,1.22512
1844,1.22578
1845,1.22645
1846,1.22711
1847,1.22777
1848,1.22844
1849,1.2291
1850,1.22977
1851,1.23043
1852,1.2311
1853,1.23176
1854,1.23243
1855,1.23309
1856,1.23376
1857,1.23442
1858,1.23509
1859,1.23575
1860,1.23642
1861,1.23708
1862,1.23775
1863,1.23841
1864,1.23908
1865,1.23974
1866,1.2404
1867,1.24107
1868,1.24173
1869,1.2424
1870,1.24306
1871,1.24373
1872,1.24439
1873,1.24506
1874,1.24572
1875,1.24639
1876,1.24705
1877,1.24772
1878,1.24838
1879,1.24905
1880,1.24971
1881,1.25038
1882,1.25104
1883,1.25171
1884,1.25237
1885,1.25303
1886,1.2537
1887,1.25436
1888,1.25503
1889,1.25569
1890,1.25636
1891,1.25702
1892,1.25769
1893,1.25835
1894,1.25902
1895,1.25968
1896,1.26035
1897,1.26101
1898,1.26168
1899,1.26234
1900,1.26301
1901,1.26367
1902,1.26434
1903,1.265
1904,1.26566
1905,1.26633
1906,1.26699
1907,1.26766
1908,1.26832
1909,1.26899
1910,1.26965
1911,1.27032
1912,1.27098
1913,1.27165
1914,1.27231
1915,1.27298
1916,1.27364
1917,1.27431
1918,1.27497
1919,1.27564
1920,1.2763
1921,1.27697
1922,1.27763
1923,1.2783
1924,1.27896
1925,1.27962
1926,1.28029
1927,1.28095
1928,1.28162
1929,1.28228
1930,1.28295
1931,1.28361
1932,1.28428
1933,1.28494
1934,1.28561
1935,1.28627
1936,1.28694
1937,1.2876
1938,1.28827
1939,1.28893
1940,1.2896
1941,1.29026
1942,1.29093
1943,1.29159
1944,1.29225
1945,1.29292
1946,1.29358
1947,1.29425
1948,1.29491
1949,1.29558
1950,1.29624
1951,1.29691
1952,1.29757
1953,1.29824
1954,1.2989
1955,1.29957
1956,1.30023
1957,1.3009
1958,1.30156
1959,1.30223
1960,1.30289
1961,1.30356
1962,1.30422
1963,1.30488
1964,1.30555
1965,1.30621
1966,1.30688
1967,1.30754
1968,1.30821
1969,1.30887
1970,1.30954
1971,1.3102
1972,1.31087
1973,1.31153
1974,1.3122
1975,1.31286
1976,1.31353
1977,1.31419
1978,1.31486
1979,1.31552
1980,1.31619
1981,1.31685
1982,1.31751
1983,1.31818
1984,1.31884
1985,1.31951
1986,1.32017
1987,1.32084
1988,1.3215
1989,1.32217
1990,1.32283
1991,1.3235
1992,1.32416
1993,1.32483
1994,1.32549
1995,1.32616
1996,1.32682
1997,1.32749
1998,1.32815
1999,1.32882
2000,1.32948
2001,1.33014
2002,1.33081
2003,1.33147
2004,1.33214
2005,1.3328
2006,1.33347
2007,1.33413
2008,1.3348
2009,1.33546
2010,1.33613
2011,1.33679
2012,1.33746
2013,1.33812
2014,1.33879
2015,1.33945
2016,1.34012
2017,1.34078
2018,1.34145
2019,1.34211
2020,1.34277
2021,1.34344
2022,1.3441
2023,1.34477
2024,1.34543
2025,1.3461
2026,1.34676
2027,1.34743
2028,1.34809
2029,1.34876
2030,1.34942
2031,1.35009
2032,1.35075
2033,1.35142
2034,1.35208
2035,1.35275
2036,1.35341
2037,1.35408
2038,1.35474
2039,1.3554
2040,1.35607
2041,1.35673
2042,1.3574
2043,1.35806
2044,1.35873
2045,1.35939
2046,1.36006
2047,1.36072
2048,1.36139
2049,1.36205
2050,1.36272
2051,1.36338
2052,1.36405
2053,1.36471
2054,1.36538
2055,1.36604
2056,1.36671
2057,1.36737
2058,1.36803
2059,1.3687
2060,1.36936
2061,1.37003
2062,1.37069
2063,1.37136
2064,1.37202
2065,1.37269
2066,1.37335
2067,1.37402
2068,1.37468
2069,1.37535
2070,1.37601
2071,1.37668
2072,1.37734
2073,1.37801
2074,1.37867
2075,1.37934
2076,1.38
2077,1.38066
2078,1.38133
2079,1.38199
2080,1.38266
2081,1.38332
2082,1.38399
2083,1.38465
2084,1.38532
2085,1.38598
2086,1.38665
2087,1.38731
2088,1.38798
2089,1.38864
2090,1.38931
2091,1.38997
2092,1.39064
2093,1.3913
2094,1.39197
2095,1.39263
2096,1.3933
2097,1.39396
2098,1.39462
2099,1.39529
2100,1.39595
2101,1.39662
2102,1.39728
2103,1.39795
2104,1.39861
2105,1.39928
2106,1.39994
2107,1.40061
2108,1.40127
2109,1.40194
2110,1.4026
2111,1.40327
2112,1.40393
2113,1.4046
2114,1.40526
2115,1.40593
2116,1.40659
2117,1.40725
2118,1.40792
2119,1.40858
2120,1.40925
2121,1.40991
2122,1.41058
2123,1.41124
2124,1.41191
2125,1.41257
2126,1.41324
2127,1.4139
2128,1.41457
2129,1.41523
2130,1.4159
2131,1.41656
2132,1.41723
2133,1.41789
2134,1.41856
2135,1.41922
2136,1.41988
2137,1.42055
2138,1.42121
2139,1.42188
2140,1.42254
2141,1.42321
2142,1.42387
2143,1.42454
2144,1.4252
2145,1.42587
2146,1.42653
2147,1.4272
2148,1.42786
2149,1.42853
2150,1.42919
2151,1.42986
2152,1.43052
2153,1.43119
2154,1.43185
2155,1.43251
2156,1.43318
2157,1.43384
2158,1.43451
2159,1.43517
2160,1.43584
2161,1.4365
2162,1.43717
2163,1.43783
2164,1.4385
2165,1.43916
2166,1.43983
2167,1.44049
2168,1.44116
2169,1.44182
2170,1.44249
2171,1.44315
2172,1.44382
2173,1.44448
2174,1.44514
2175,1.44581
2176,1.44647
2177,1.44714
2178,1.4478
2179,1.44847
2180,1.44913
2181,1.4498
2182,1.45046
2183,1.45113
2184,1.45179
2185,1.45246
2186,1.45312
2187,1.45379
2188,1.45445
2189,1.45512
2190,1.45578
2191,1.45645
2192,1.45711
2193,1.45777
2194,1.45844
2195,1.4591
2196,1.45977
2197,1.46043
2198,1.4611
2199,1.46176
2200,1.46243
2201,1.46309
2202,1.46376
2203,1.46442
2204,1.46509
2205,1.46575
2206,1.46642
2207,1.46708
2208,1.46775
2209,1.46841
2210,1.46908
2211,1.46974
2212,1.4704
2213,1.47107
2214,1.47173
2215,1.4724
2216,1.47306
2217,1.47373
2218,1.47439
2219,1.47506
2220,1.47572
2221,1.47639
2222,1.47705
2223,1.47772
2224,1.47838
2225,1.47905
2226,1.47971
2227,1.48038
2228,1.48104
2229,1.48171
2230,1.48237
2231,1.48303
2232,1.4837
2233,1.48436
2234,1.48503
2235,1.48569
2236,1.48636
2237,1.48702
2238,1.48769
2239,1.48835
2240,1.48902
2241,1.48968
2242,1.49035
2243,1.49101
2244,1.49168
2245,1.49234
2246,1.49301
2247,1.49367
2248,1.49434
2249,1.495
2250,1.49566
2251,1.49633
2252,1.49699
2253,1.49766
2254,1.49832
2255,1.49899
2256,1.49965
2257,1.50032
2258,1.50098
2259,1.50165
2260,1.50231
2261,1.50298
2262,1.50364
2263,1.50431
2264,1.50497
2265,1.50564
2266,1.5063
2267,1.50697
2268,1.50763
2269,1.5083
2270,1.50896
2271,1.50962
2272,1.51029
2273,1.51095
2274,1.51162
2275,1.51228
2276,1.51295
2277,1.51361
2278,1.51428
2279,1.51494
2280,1.51561
2281,1.51627
2282,1.51694
2283,1.5176
2284,1.51827
2285,1.51893
2286,1.5196
2287,1.52026
2288,1.52093
2289,1.52159
2290,1.52225
2291,1.52292
2292,1.52358
2293,1.52425
2294,1.52491
2295,1.52558
2296,1.52624
2297,1.52691
2298,1.52757
2299,1.52824
2300,1.5289
2301,1.52957
2302,1.53023
2303,1.5309
2304,1.53156
2305,1.53223
2306,1.53289
2307,1.53356
2308,1.53422
2309,1.53488
2310,1.53555
2311,1.53621
2312,1.53688
2313,1.53754
2314,1.53821
2315,1.53887
2316,1.53954
2317,1.5402
2318,1.54087
2319,1.54153
2320,1.5422
2321,1.54286
2322,1.54353
2323,1.54419
2324,1.54486
2325,1.54552
2326,1.54619
2327,1.54685
2328,1.54751
2329,1.54818
2330,1.54884
2331,1.54951
2332,1.55017
2333,1.55084
2334,1.5515
2335,1.55217
2336,1.55283
2337,1.5535
2338,1.55416
2339,1.55483
2340,1.55549
2341,1.55616
2342,1.55682
2343,1.55749
2344,1.55815
2345,1.55882
2346,1.55948
2347,1.56014
2348,1.56081
2349,1.56147
2350,1.56214
2351,1.5628
2352,1.56347
2353,1.56413
2354,1.5648
2355,1.56546
2356,1.56613
2357,1.56679
2358,1.56746
2359,1.56812
2360,1.56879
2361,1.56945
2362,1.57012
2363,1.57078
2364,1.57145
2365,1.57211
2366,1.57277
2367,1.57344
2368,1.5741
2369,1.57477
2370,1.57543
2371,1.5761
2372,1.57676
2373,1.57743
2374,1.57809
2375,1.57876
2376,1.57942
2377,1.58009
2378,1.58075
2379,1.58142
2380,1.58208
2381,1.58275
2382,1.58341
2383,1.58408
2384,1.58474
2385,1.5854
2386,1.58607
2387,1.58673
2388,1.5874
2389,1.58806
2390,1.58873
2391,1.58939
2392,1.59006
2393,1.59072
2394,1.59139
2395,1.59205
2396,1.59272
2397,1.59338
2398,1.59405
2399,1.59471
2400,1.59538
2401,1.59604
2402,1.59671
2403,1.59737
2404,1.59803
2405,1.5987
2406,1.59936
2407,1.60003
2408,1.60069
2409,1.60136
2410,1.60202
2411,1.60269
2412,1.60335
2413,1.60402
2414,1.60468
2415,1.60535
2416,1.60601
2417,1.60668
2418,1.60734
2419,1.60801
2420,1.60867
2421,1.60934
2422,1.61
2423,1.61066
2424,1.61133
2425,1.61199
2426,1.61266
2427,1.61332
2428,1.61399
2429,1.61465
2430,1.61532
2431,1.61598
2432,1.61665
2433,1.61731
2434,1.61798
2435,1.61864
2436,1.61931
2437,1.61997
2438,1.62064
2439,1.6213
2440,1.62197
2441,1.62263
2442,1.6233
2443,1.62396
2444,1.62462
2445,1.62529
2446,1.62595
2447,1.62662
2448,1.62728
2449,1.62795
2450,1.62861
2451,1.62928
2452,1.62994
2453,1.63061
2454,1.63127
2455,1.63194
2456,1.6326
2457,1.63327
2458,1.63393
2459,1.6346
2460,1.63526
2461,1.63593
2462,1.63659
2463,1.63725
2464,1.63792
2465,1.63858
2466,1.63925
2467,1.63991
2468,1.64058
2469,1.64124
2470,1.64191
2471,1.64257
2472,1.64324
2473,1.6439
2474,1.64457
2475,1.64523
2476,1.6459
2477,1.64656
2478,1.64723
2479,1.64789
2480,1.64856
2481,1.64922
2482,1.64988
2483,1.65055
2484,1.65121
2485,1.65188
2486,1.65254
2487,1.65321
2488,1.65387
2489,1.65454
2490,1.6552
2491,1.65587
2492,1.65653
2493,1.6572
2494,1.65786
2495,1.65853
2496,1.65919
2497,1.65986
2498,1.66052
2499,1.66119
2500,1.66185
2501,1.66251
2502,1.66318
2503,1.66384
2504,1.66451
2505,1.66517
2506,1.66584
2507,1.6665
2508,1.66717
2509,1.66783
2510,1.6685
2511,1.66916
2512,1.66983
2513,1.67049
2514,1.67116
2515,1.67182
2516,1.67249
2517,1.67315
2518,1.67382
2519,1.67448
2520,1.67514
2521,1.67581
2522,1.67647
2523,1.67714
2524,1.6778
2525,1.67847
2526,1.67913
2527,1.6798
2528,1.68046
2529,1.68113
2530,1.68179
2531,1.68246
2532,1.68312
2533,1.68379
2534,1.68445
2535,1.68512
2536,1.68578
2537,1.68645
2538,1.68711
2539,1.68777
2540,1.68844
2541,1.6891
2542,1.68977
2543,1.69043
2544,1.6911
2545,1.69176
2546,1.69243
2547,1.69309
2548,1.69376
2549,1.69442
2550,1.69509
2551,1.69575
2552,1.69642
2553,1.69708
2554,1.69775
2555,1.69841
2556,1.69908
2557,1.69974
2558,1.7004
2559,1.70107
2560,1.70173
2561,1.7024
2562,1.70306
2563,1.70373
2564,1.70439
2565,1.70506
2566,1.70572
2567,1.70639
2568,1.70705
2569,1.70772
2570,1.70838
2571,1.70905
2572,1.70971
2573,1.71038
2574,1.71104
2575,1.71171
2576,1.71237
2577,1.71303
2578,1.7137
2579,1.71436
2580,1.71503
2581,1.71569
2582,1.71636
2583,1.71702
2584,1.71769
2585,1.71835
2586,1.71902
2587,1.71968
2588,1.72035
2589,1.72101
2590,1.72168
2591,1.72234
2592,1.72301
2593,1.72367
2594,1.72434
2595,1.725
2596,1.72566
2597,1.72633
2598,1.72699
2599,1.72766
2600,1.72832
2601,1.72899
2602,1.72965
2603,1.73032
2604,1.73098
2605,1.73165
2606,1.73231
2607,1.73298
2608,1.73364
2609,1.73431
2610,1.73497
2611,1.73564
2612,1.7363
2613,1.73697
2614,1.73763
2615,1.7383
2616,1.73896
2617,1.73962
2618,1.74029
2619,1.74095
2620,1.74162
2621,1.74228
2622,1.74295
2623,1.74361
2624,1.74428
2625,1.74494
2626,1.74561
2627,1.74627
2628,1.74694
2629,1.7476
2630,1.74827
2631,1.74893
2632,1.7496
2633,1.75026
2634,1.75093
2635,1.75159
2636,1.75225
2637,1.75292
2638,1.75358
2639,1.75425
2640,1.75491
2641,1.75558
2642,1.75624
2643,1.75691
2644,1.75757
2645,1.75824
2646,1.7589
2647,1.75957
2648,1.76023
2649,1.7609
2650,1.76156
2651,1.76223
2652,1.76289
2653,1.76356
2654,1.76422
2655,1.76488
2656,1.76555
2657,1.76621
2658,1.76688
2659,1.76754
2660,1.76821
2661,1.76887
2662,1.76954
2663,1.7702
2664,1.77087
2665,1.77153
2666,1.7722
2667,1.77286
2668,1.77353
2669,1.77419
2670,1.77486
2671,1.77552
2672,1.77619
2673,1.77685
2674,1.77751
2675,1.77818
2676,1.77884
2677,1.77951
2678,1.78017
2679,1.78084
2680,1.7815
2681,1.78217
2682,1.78283
2683,1.7835
2684,1.78416
2685,1.78483
2686,1.78549
2687,1.78616
2688,1.78682
2689,1.78749
2690,1.78815
2691,1.78882
2692,1.78948
2693,1.79014
2694,1.79081
2695,1.79147
2696,1.79214
2697,1.7928
2698,1.79347
2699,1.79413
2700,1.7948
2701,1.79546
2702,1.79613
2703,1.79679
2704,1.79746
2705,1.79812
2706,1.79879
2707,1.79945
2708,1.80012
2709,1.80078
2710,1.80145
2711,1.80211
2712,1.80277
2713,1.80344
2714,1.8041
2715,1.80477
2716,1.80543
2717,1.8061
2718,1.80676
2719,1.80743
2720,1.80809
2721,1.80876
2722,1.80942
2723,1.81009
2724,1.81075
2725,1.81142
2726,1.81208
2727,1.81275
2728,1.81341
2729,1.81408
2730,1.81474
2731,1.8154
2732,1.81607
2733,1.81673
2734,1.8174
2735,1.81806
2736,1.81873
2737,1.81939
2738,1.82006
2739,1.82072
2740,1.82139
2741,1.82205
2742,1.82272
2743,1.82338
2744,1.82405
2745,1.82471
2746,1.82538
2747,1.82604
2748,1.82671
2749,1.82737
2750,1.82803
2751,1.8287
2752,1.82936
2753,1.83003
2754,1.83069
2755,1.83136
2756,1.83202
2757,1.83269
2758,1.83335
2759,1.83402
2760,1.83468
2761,1.83535
2762,1.83601
2763,1.83668
2764,1.83734
2765,1.83801
2766,1.83867
2767,1.83934
2768,1.84
2769,1.84066
2770,1.84133
2771,1.84199
2772,1.84266
2773,1.84332
2774,1.84399
2775,1.84465
2776,1.84532
2777,1.84598
2778,1.84665
2779,1.84731
2780,1.84798
2781,1.84864
2782,1.84931
2783,1.84997
2784,1.85064
2785,1.8513
2786,1.85197
2787,1.85263
2788,1.8533
2789,1.85396
2790,1.85462
2791,1.85529
2792,1.85595
2793,1.85662
2794,1.85728
2795,1.85795
2796,1.85861
2797,1.85928
2798,1.85994
2799,1.86061
2800,1.86127
2801,1.86194
2802,1.8626
2803,1.86327
2804,1.86393
2805,1.8646
2806,1.86526
2807,1.86593
2808,1.86659
2809,1.86725
2810,1.86792
2811,1.86858
2812,1.86925
2813,1.86991
2814,1.87058
2815,1.87124
2816,1.87191
2817,1.87257
2818,1.87324
2819,1.8739
2820,1.87457
2821,1.87523
2822,1.8759
2823,1.87656
2824,1.87723
2825,1.87789
2826,1.87856
2827,1.87922
2828,1.87988
2829,1.88055
2830,1.88121
2831,1.88188
2832,1.88254
2833,1.88321
2834,1.88387
2835,1.88454
2836,1.8852
2837,1.88587
2838,1.88653
2839,1.8872
2840,1.88786
2841,1.88853
2842,1.88919
2843,1.88986
2844,1.89052
2845,1.89119
2846,1.89185
2847,1.89251
2848,1.89318
2849,1.89384
2850,1.89451
2851,1.89517
2852,1.89584
2853,1.8965
2854,1.89717
2855,1.89783
2856,1.8985
2857,1.89916
2858,1.89983
2859,1.90049
2860,1.90116
2861,1.90182
2862,1.90249
2863,1.90315
2864,1.90382
2865,1.90448
2866,1.90514
2867,1.90581
2868,1.90647
2869,1.90714
2870,1.9078
2871,1.90847
2872,1.90913
2873,1.9098
2874,1.91046
2875,1.91113
2876,1.91179
2877,1.91246
2878,1.91312
2879,1.91379
2880,1.91445
2881,1.91512
2882,1.91578
2883,1.91645
2884,1.91711
2885,1.91777
2886,1.91844
2887,1.9191
2888,1.91977
2889,1.92043
2890,1.9211
2891,1.92176
2892,1.92243
2893,1.92309
2894,1.92376
2895,1.92442
2896,1.92509
2897,1.92575
2898,1.92642
2899,1.92708
2900,1.92775
2901,1.92841
2902,1.92908
2903,1.92974
2904,1.9304
2905,1.93107
2906,1.93173
2907,1.9324
2908,1.93306
2909,1.93373
2910,1.93439
2911,1.93506
2912,1.93572
2913,1.93639
2914,1.93705
2915,1.93772
2916,1.93838
2917,1.93905
2918,1.93971
2919,1.94038
2920,1.94104
2921,1.94171
2922,1.94237
2923,1.94304
2924,1.9437
2925,1.94436
2926,1.94503
2927,1.94569
2928,1.94636
2929,1.94702
2930,1.94769
2931,1.94835
2932,1.94902
2933,1.94968
2934,1.95035
2935,1.95101
2936,1.95168
2937,1.95234
2938,1.95301
2939,1.95367
2940,1.95434
2941,1.955
2942,1.95566
2943,1.95633
2944,1.95699
2945,1.95766
2946,1.95832
2947,1.95899
2948,1.95965
2949,1.96032
2950,1.96098
2951,1.96165
2952,1.96231
2953,1.96298
2954,1.96364
2955,1.96431
2956,1.96497
2957,1.96564
2958,1.9663
2959,1.96697
2960,1.96763
2961,1.9683
2962,1.96896
2963,1.96962
2964,1.97029
2965,1.97095
2966,1.97162
2967,1.97228
2968,1.97295
2969,1.97361
2970,1.97428
2971,1.97494
2972,1.97561
2973,1.97627
2974,1.97694
2975,1.9776
2976,1.97827
2977,1.97893
2978,1.9796
2979,1.98026
2980,1.98093
2981,1.98159
2982,1.98225
2983,1.98292
2984,1.98358
2985,1.98425
2986,1.98491
2987,1.98558
2988,1.98624
2989,1.98691
2990,1.98757
2991,1.98824
2992,1.9889
2993,1.98957
2994,1.99023
2995,1.9909
2996,1.99156
2997,1.99223
2998,1.99289
2999,1.99356
3000,1.99422
