 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
Pressure (kPa), Psychrometric Constant (kPa/C)
411,0.273208
412,0.273873
413,0.274538
414,0.275202
415,0.275867
416,0.276532
417,0.277197
418,0.277861
419,0.278526
420,0.279191
421,0.279856
422,0.28052
423,0.281185
424,0.28185
425,0.282514
426,0.283179
427,0.283844
428,0.284509
429,0.285173
430,0.285838
431,0.286503
432,0.287168
433,0.287832
434,0.288497
435,0.289162
436,0.289827
437,0.290491
438,0.291156
439,0.291821
440,0.292486
441,0.29315
442,0.293815
443,0.29448
444,0.295145
445,0.295809
446,0.296474
447,0.297139
448,0.297804
449,0.298468
450,0.299133
451,0.299798
452,0.300462
453,0.301127
454,0.301792
455,0.302457
456,0.303121
457,0.303786
458,0.304451
459,0.305116
460,0.30578
461,0.306445
462,0.30711
463,0.307775
464,0.308439
465,0.309104
466,0.309769
467,0.310434
468,0.311098
469,0.311763
470,0.312428
471,0.313093
472,0.313757
473,0.314422
474,0.315087
475,0.315751
476,0.316416
477,0.317081
478,0.317746
479,0.31841
480,0.319075
481,0.31974
482,0.320405
483,0.321069
484,0.321734
485,0.322399
486,0.323064
487,0.323728
488,0.324393
489,0.325058
490,0.325723
491,0.326387
492,0.327052
493,0.327717
494,0.328382
495,0.329046
496,0.329711
497,0.330376
498,0.331041
499,0.331705
500,0.33237
501,0.333035
502,0.333699
503,0.334364
504,0.335029
505,0.335694
506,0.336358
507,0.337023
508,0.337688
509,0.338353
510,0.339017
511,0.339682
512,0.340347
513,0.341012
514,0.341676
515,0.342341
516,0.343006
517,0.343671
518,0.344335
519,0.345
520,0.345665
521,0.34633
522,0.346994
523,0.347659
524,0.348324
525,0.348989
526,0.349653
527,0.350318
528,0.350983
529,0.351647
530,0.352312
531,0.352977
532,0.353642
533,0.354306
534,0.354971
535,0.355636
536,0.356301
537,0.356965
538,0.35763
539,0.358295
540,0.35896
541,0.359624
542,0.360289
543,0.360954
544,0.361619
545,0.362283
546,0.362948
547,0.363613
548,0.364278
549,0.364942
550,0.365607
551,0.366272
552,0.366936
553,0.367601
554,0.368266
555,0.368931
556,0.369595
557,0.37026
558,0.370925
559,0.37159
560,0.372254
561,0.372919
562,0.373584
563,0.374249
564,0.374913
565,0.375578
566,0.376243
567,0.376908
568,0.377572
569,0.378237
570,0.378902
571,0.379567
572,0.380231
573,0.380896
574,0.381561
575,0.382225
576,0.38289
577,0.383555
578,0.38422
579,0.384884
580,0.385549
581,0.386214
582,0.386879
583,0.387543
584,0.388208
585,0.388873
586,0.389538
587,0.390202
588,0.390867
589,0.391532
590,0.392197
591,0.392861
592,0.393526
593,0.394191
594,0.394856
595,0.39552
596,0.396185
597,0.39685
598,0.397515
599,0.398179
600,0.398844
601,0.399509
602,0.400173
603,0.400838
604,0.401503
605,0.402168
606,0.402832
607,0.403497
608,0.404162
609,0.404827
610,0.405491
611,0.406156
612,0.406821
613,0.407486
614,0.40815
615,0.408815
616,0.40948
617,0.410145
618,0.410809
619,0.411474
620,0.412139
621,0.412804
622,0.413468
623,0.414133
624,0.414798
625,0.415462
626,0.416127
627,0.416792
628,0.417457
629,0.418121
630,0.418786
631,0.419451
632,0.420116
633,0.42078
634,0.421445
635,0.42211
636,0.422775
637,0.423439
638,0.424104
639,0.424769
640,0.425434
641,0.426098
642,0.426763
643,0.427428
644,0.428093
645,0.428757
646,0.429422
647,0.430087
648,0.430752
649,0.431416
650,0.432081
651,0.432746
652,0.43341
653,0.434075
654,0.43474
655,0.435405
656,0.436069
657,0.436734
658,0.437399
659,0.438064
660,0.438728
661,0.439393
662,0.440058
663,0.440723
664,0.441387
665,0.442052
666,0.442717
667,0.443382
668,0.444046
669,0.444711
670,0.445376
671,0.446041
672,0.446705
673,0.44737
674,0.448035
675,0.4487
676,0.449364
677,0.450029
678,0.450694
679,0.451358
680,0.452023
681,0.452688
682,0.453353
683,0.454017
684,0.454682
685,0.455347
686,0.456012
687,0.456676
688,0.457341
689,0.458006
690,0.458671
691,0.459335
692,0.46
693,0.460665
694,0.46133
695,0.461994
696,0.462659
697,0.463324
698,0.463989
699,0.464653
700,0.465318
701,0.465983
702,0.466647
703,0.467312
704,0.467977
705,0.468642
706,0.469306
707,0.469971
708,0.470636
709,0.471301
710,0.471965
711,0.47263
712,0.473295
713,0.47396
714,0.474624
715,0.475289
716,0.475954
717,0.476619
718,0.477283
719,0.477948
720,0.478613
721,0.479278
722,0.479942
723,0.480607
724,0.481272
725,0.481936
726,0.482601
727,0.483266
728,0.483931
729,0.484595
730,0.48526
731,0.485925
732,0.48659
733,0.487254
734,0.487919
735,0.488584
736,0.489249
737,0.489913
738,0.490578
739,0.491243
740,0.491908
741,0.492572
742,0.493237
743,0.493902
744,0.494567
745,0.495231
746,0.495896
747,0.496561
748,0.497226
749,0.49789
750,0.498555
751,0.49922
752,0.499884
753,0.500549
754,0.501214
755,0.501879
756,0.502543
757,0.503208
758,0.503873
759,0.504538
760,0.505202
761,0.505867
762,0.506532
763,0.507197
764,0.507861
765,0.508526
766,0.509191
767,0.509856
768,0.51052
769,0.511185
770,0.51185
771,0.512515
772,0.513179
773,0.513844
774,0.514509
775,0.515173
776,0.515838
777,0.516503
778,0.517168
779,0.517832
780,0.518497
781,0.519162
782,0.519827
783,0.520491
784,0.521156
785,0.521821
786,0.522486
787,0.52315
788,0.523815
789,0.52448
790,0.525145
791,0.525809
792,0.526474
793,0.527139
794,0.527804
795,0.528468
796,0.529133
797,0.529798
798,0.530463
799,0.531127
800,0.531792
801,0.532457
802,0.533121
803,0.533786
804,0.534451
805,0.535116
806,0.53578
807,0.536445
808,0.53711
809,0.537775
810,0.538439
811,0.539104
812,0.539769
813,0.540434
814,0.541098
815,0.541763
816,0.542428
817,0.543093
818,0.543757
819,0.544422
820,0.545087
821,0.545752
822,0.546416
823,0.547081
824,0.547746
825,0.54841
826,0.549075
827,0.54974
828,0.550405
829,0.551069
830,0.551734
831,0.552399
832,0.553064
833,0.553728
834,0.554393
835,0.555058
836,0.555723
837,0.556387
838,0.557052
839,0.557717
840,0.558382
841,0.559046
842,0.559711
843,0.560376
844,0.561041
845,0.561705
846,0.56237
847,0.563035
848,0.563699
849,0.564364
850,0.565029
851,0.565694
852,0.566358
853,0.567023
854,0.567688
855,0.568353
856,0.569017
857,0.569682
858,0.570347
859,0.571012
860,0.571676
861,0.572341
862,0.573006
863,0.573671
864,0.574335
865,0.575
866,0.575665
867,0.57633
868,0.576994
869,0.577659
870,0.578324
871,0.578989
872,0.579653
873,0.580318
874,0.580983
875,0.581648
876,0.582312
877,0.582977
878,0.583642
879,0.584306
880,0.584971
881,0.585636
882,0.586301
883,0.586965
884,0.58763
885,0.588295
886,0.58896
887,0.589624
888,0.590289
889,0.590954
890,0.591619
891,0.592283
892,0.592948
893,0.593613
894,0.594278
895,0.594942
896,0.595607
897,0.596272
898,0.596937
899,0.597601
900,0.598266
901,0.598931
902,0.599595
903,0.60026
904,0.600925
905,0.60159
906,0.602254
907,0.602919
908,0.603584
909,0.604249
910,0.604913
911,0.605578
912,0.606243
913,0.606908
914,0.607572
915,0.608237
916,0.608902
917,0.609567
918,0.610231
919,0.610896
920,0.611561
921,0.612226
922,0.61289
923,0.613555
924,0.61422
925,0.614884
926,0.615549
927,0.616214
928,0.616879
929,0.617543
930,0.618208
931,0.618873
932,0.619538
933,0.620202
934,0.620867
935,0.621532
936,0.622197
937,0.622861
938,0.623526
939,0.624191
940,0.624856
941,0.62552
942,0.626185
943,0.62685
944,0.627515
945,0.628179
946,0.628844
947,0.629509
948,0.630174
949,0.630838
950,0.631503
951,0.632168
952,0.632832
953,0.633497
954,0.634162
955,0.634827
956,0.635491
957,0.636156
958,0.636821
959,0.637486
960,0.63815
961,0.638815
962,0.63948
963,0.640145
964,0.640809
965,0.641474
966,0.642139
967,0.642804
968,0.643468
969,0.644133
970,0.644798
971,0.645463
972,0.646127
973,0.646792
974,0.647457
975,0.648121
976,0.648786
977,0.649451
978,0.650116
979,0.65078
980,0.651445
981,0.65211
982,0.652775
983,0.653439
984,0.654104
985,0.654769
986,0.655434
987,0.656098
988,0.656763
989,0.657428
990,0.658093
991,0.658757
992,0.659422
993,0.660087
994,0.660752
995,0.661416
996,0.662081
997,0.662746
998,0.66341
999,0.664075
1000,0.66474
1001,0.665405
1002,0.666069
1003,0.666734
1004,0.667399
1005,0.668064
1006,0.668728
1007,0.669393
1008,0.670058
1009,0.670723
1010,0.671387
1011,0.672052
1012,0.672717
1013,0.673382
1014,0.674046
1015,0.674711
1016,0.675376
1017,0.676041
1018,0.676705
1019,0.67737
1020,0.678035
1021,0.6787
1022,0.679364
1023,0.680029
1024,0.680694
1025,0.681358
1026,0.682023
1027,0.682688
1028,0.683353
1029,0.684017
1030,0.684682
1031,0.685347
1032,0.686012
1033,0.686676
1034,0.687341
1035,0.688006
1036,0.688671
1037,0.689335
1038,0.69
1039,0.690665
1040,0.69133
1041,0.691994
1042,0.692659
1043,0.693324
1044,0.693989
1045,0.694653
1046,0.695318
1047,0.695983
1048,0.696648
1049,0.697312
1050,0.697977
1051,0.698642
1052,0.699306
1053,0.699971
1054,0.700636
1055,0.701301
1056,0.701965
1057,0.70263
1058,0.703295
1059,0.70396
1060,0.704624
1061,0.705289
1062,0.705954
1063,0.706619
1064,0.707283
1065,0.707948
1066,0.708613
1067,0.709278
1068,0.709942
1069,0.710607
1070,0.711272
1071,0.711937
1072,0.712601
1073,0.713266
1074,0.713931
1075,0.714595
1076,0.71526
1077,0.715925
1078,0.71659
1079,0.717254
1080,0.717919
1081,0.718584
1082,0.719249
1083,0.719913
1084,0.720578
1085,0.721243
1086,0.721908
1087,0.722572
1088,0.723237
1089,0.723902
1090,0.724567
1091,0.725231
1092,0.725896
1093,0.726561
1094,0.727226
1095,0.72789
1096,0.728555
1097,0.72922
1098,0.729885
1099,0.730549
1100,0.731214
1101,0.731879
1102,0.732543
1103,0.733208
1104,0.733873
1105,0.734538
1106,0.735202
1107,0.735867
1108,0.736532
1109,0.737197
1110,0.737861
1111,0.738526
1112,0.739191
1113,0.739856
1114,0.74052
1115,0.741185
1116,0.74185
1117,0.742515
1118,0.743179
1119,0.743844
1120,0.744509
1121,0.745174
1122,0.745838
1123,0.746503
1124,0.747168
1125,0.747832
1126,0.748497
1127,0.749162
1128,0.749827
1129,0.750491
1130,0.751156
1131,0.751821
1132,0.752486
1133,0.75315
1134,0.753815
1135,0.75448
1136,0.755145
1137,0.755809
1138,0.756474
1139,0.757139
1140,0.757804
1141,0.758468
1142,0.759133
1143,0.759798
1144,0.760463
1145,0.761127
1146,0.761792
1147,0.762457
1148,0.763121
1149,0.763786
1150,0.764451
1151,0.765116
1152,0.76578
1153,0.766445
1154,0.76711
1155,0.767775
1156,0.768439
1157,0.769104
1158,0.769769
1159,0.770434
1160,0.771098
1161,0.771763
1162,0.772428
1163,0.773093
1164,0.773757
1165,0.774422
1166,0.775087
1167,0.775752
1168,0.776416
1169,0.777081
1170,0.777746
1171,0.77841
1172,0.779075
1173,0.77974
1174,0.780405
1175,0.781069
1176,0.781734
1177,0.782399
1178,0.783064
1179,0.783728
1180,0.784393
1181,0.785058
1182,0.785723
1183,0.786387
1184,0.787052
1185,0.787717
1186,0.788382
1187,0.789046
1188,0.789711
1189,0.790376
1190,0.791041
1191,0.791705
1192,0.79237
1193,0.793035
1194,0.7937
1195,0.794364
1196,0.795029
1197,0.795694
1198,0.796359
1199,0.797023
1200,0.797688
1201,0.798353
1202,0.799017
1203,0.799682
1204,0.800347
1205,0.801012
1206,0.801676
1207,0.802341
1208,0.803006
1209,0.803671
1210,0.804335
1211,0.805
1212,0.805665
1213,0.80633
1214,0.806994
1215,0.807659
1216,0.808324
1217,0.808989
1218,0.809653
1219,0.810318
1220,0.810983
1221,0.811648
1222,0.812312
1223,0.812977
1224,0.813642
1225,0.814306
1226,0.814971
1227,0.815636
1228,0.816301
1229,0.816965
1230,0.81763
1231,0.818295
1232,0.81896
1233,0.819624
1234,0.820289
1235,0.820954
1236,0.821619
1237,0.822283
1238,0.822948
1239,0.823613
1240,0.824278
1241,0.824942
1242,0.825607
1243,0.826272
