 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
Temperature (K), Mixing Ratio (KG/KG), Pressure (Pa)
273,0.01,10000,25.9942
273,0.01,10500,27.3243
273,0.01,11000,28.6544
273,0.01,11500,29.9844
273,0.01,12000,31.3145
273,0.01,12500,32.6446
273,0.01,13000,33.9747
273,0.01,13500,35.3048
273,0.01,14000,36.6349
273,0.01,14500,37.965
273,0.01,15000,39.2951
273,0.02,10000,51.9883
273,0.02,10500,54.6485
273,0.02,11000,57.3087
273,0.02,11500,59.9689
273,0.02,12000,62.6291
273,0.02,12500,65.2893
273,0.02,13000,67.9495
273,0.02,13500,70.6096
273,0.02,14000,73.2698
273,0.02,14500,75.93
273,0.02,15000,78.5902
273,0.03,10000,77.9825
273,0.03,10500,81.9728
273,0.03,11000,85.9631
273,0.03,11500,89.9533
273,0.03,12000,93.9436
273,0.03,12500,97.9339
273,0.03,13000,101.924
273,0.03,13500,105.914
273,0.03,14000,109.905
273,0.03,14500,113.895
273,0.03,15000,117.885
273,0.04,10000,103.977
273,0.04,10500,109.297
273,0.04,11000,114.617
273,0.04,11500,119.938
273,0.04,12000,125.258
273,0.04,12500,130.579
273,0.04,13000,135.899
273,0.04,13500,141.219
273,0.04,14000,146.54
273,0.04,14500,151.86
273,0.04,15000,157.18
273,0.05,10000,129.971
273,0.05,10500,136.621
273,0.05,11000,143.272
273,0.05,11500,149.922
273,0.05,12000,156.573
273,0.05,12500,163.223
273,0.05,13000,169.874
273,0.05,13500,176.524
273,0.05,14000,183.175
273,0.05,14500,189.825
273,0.05,15000,196.476
274,0.01,10000,24.1322
274,0.01,10500,25.3692
274,0.01,11000,26.6062
274,0.01,11500,27.8432
274,0.01,12000,29.0802
274,0.01,12500,30.3172
274,0.01,13000,31.5542
274,0.01,13500,32.7912
274,0.01,14000,34.0282
274,0.01,14500,35.2652
274,0.01,15000,36.5022
274,0.02,10000,48.2645
274,0.02,10500,50.7385
274,0.02,11000,53.2125
274,0.02,11500,55.6865
274,0.02,12000,58.1605
274,0.02,12500,60.6345
274,0.02,13000,63.1085
274,0.02,13500,65.5825
274,0.02,14000,68.0565
274,0.02,14500,70.5305
274,0.02,15000,73.0045
274,0.03,10000,72.3967
274,0.03,10500,76.1077
274,0.03,11000,79.8187
274,0.03,11500,83.5297
274,0.03,12000,87.2407
274,0.03,12500,90.9517
274,0.03,13000,94.6627
274,0.03,13500,98.3737
274,0.03,14000,102.085
274,0.03,14500,105.796
274,0.03,15000,109.507
274,0.04,10000,96.529
274,0.04,10500,101.477
274,0.04,11000,106.425
274,0.04,11500,111.373
274,0.04,12000,116.321
274,0.04,12500,121.269
274,0.04,13000,126.217
274,0.04,13500,131.165
274,0.04,14000,136.113
274,0.04,14500,141.061
274,0.04,15000,146.009
274,0.05,10000,120.661
274,0.05,10500,126.846
274,0.05,11000,133.031
274,0.05,11500,139.216
274,0.05,12000,145.401
274,0.05,12500,151.586
274,0.05,13000,157.771
274,0.05,13500,163.956
274,0.05,14000,170.141
274,0.05,14500,176.326
274,0.05,15000,182.511
275,0.01,10000,22.4146
275,0.01,10500,23.5657
275,0.01,11000,24.7168
275,0.01,11500,25.868
275,0.01,12000,27.0191
275,0.01,12500,28.1702
275,0.01,13000,29.3213
275,0.01,13500,30.4724
275,0.01,14000,31.6235
275,0.01,14500,32.7747
275,0.01,15000,33.9258
275,0.02,10000,44.8292
275,0.02,10500,47.1315
275,0.02,11000,49.4337
275,0.02,11500,51.7359
275,0.02,12000,54.0382
275,0.02,12500,56.3404
275,0.02,13000,58.6426
275,0.02,13500,60.9449
275,0.02,14000,63.2471
275,0.02,14500,65.5493
275,0.02,15000,67.8516
275,0.03,10000,67.2438
275,0.03,10500,70.6972
275,0.03,11000,74.1505
275,0.03,11500,77.6039
275,0.03,12000,81.0572
275,0.03,12500,84.5106
275,0.03,13000,87.9639
275,0.03,13500,91.4173
275,0.03,14000,94.8706
275,0.03,14500,98.324
275,0.03,15000,101.777
275,0.04,10000,89.6585
275,0.04,10500,94.2629
275,0.04,11000,98.8674
275,0.04,11500,103.472
275,0.04,12000,108.076
275,0.04,12500,112.681
275,0.04,13000,117.285
275,0.04,13500,121.89
275,0.04,14000,126.494
275,0.04,14500,131.099
275,0.04,15000,135.703
275,0.05,10000,112.073
275,0.05,10500,117.829
275,0.05,11000,123.584
275,0.05,11500,129.34
275,0.05,12000,135.095
275,0.05,12500,140.851
275,0.05,13000,146.607
275,0.05,13500,152.362
275,0.05,14000,158.118
275,0.05,14500,163.873
275,0.05,15000,169.629
276,0.01,10000,20.8291
276,0.01,10500,21.9009
276,0.01,11000,22.9728
276,0.01,11500,24.0446
276,0.01,12000,25.1164
276,0.01,12500,26.1883
276,0.01,13000,27.2601
276,0.01,13500,28.332
276,0.01,14000,29.4038
276,0.01,14500,30.4756
276,0.01,15000,31.5475
276,0.02,10000,41.6582
276,0.02,10500,43.8018
276,0.02,11000,45.9455
276,0.02,11500,48.0892
276,0.02,12000,50.2329
276,0.02,12500,52.3765
276,0.02,13000,54.5202
276,0.02,13500,56.6639
276,0.02,14000,58.8076
276,0.02,14500,60.9513
276,0.02,15000,63.0949
276,0.03,10000,62.4872
276,0.03,10500,65.7028
276,0.03,11000,68.9183
276,0.03,11500,72.1338
276,0.03,12000,75.3493
276,0.03,12500,78.5648
276,0.03,13000,81.7803
276,0.03,13500,84.9959
276,0.03,14000,88.2114
276,0.03,14500,91.4269
276,0.03,15000,94.6424
276,0.04,10000,83.3163
276,0.04,10500,87.6037
276,0.04,11000,91.891
276,0.04,11500,96.1784
276,0.04,12000,100.466
276,0.04,12500,104.753
276,0.04,13000,109.04
276,0.04,13500,113.328
276,0.04,14000,117.615
276,0.04,14500,121.903
276,0.04,15000,126.19
276,0.05,10000,104.145
276,0.05,10500,109.505
276,0.05,11000,114.864
276,0.05,11500,120.223
276,0.05,12000,125.582
276,0.05,12500,130.941
276,0.05,13000,136.301
276,0.05,13500,141.66
276,0.05,14000,147.019
276,0.05,14500,152.378
276,0.05,15000,157.737
277,0.01,10000,19.3645
277,0.01,10500,20.3632
277,0.01,11000,21.3618
277,0.01,11500,22.3604
277,0.01,12000,23.359
277,0.01,12500,24.3576
