 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
Temperature (K), Mixing Ratio (KG/KG), Pressure (Pa)
277,0.01,13000,25.3562
277,0.01,13500,26.3548
277,0.01,14000,27.3535
277,0.01,14500,28.3521
277,0.01,15000,29.3507
277,0.02,10000,38.7291
277,0.02,10500,40.7263
277,0.02,11000,42.7236
277,0.02,11500,44.7208
277,0.02,12000,46.718
277,0.02,12500,48.7152
277,0.02,13000,50.7125
277,0.02,13500,52.7097
277,0.02,14000,54.7069
277,0.02,14500,56.7041
277,0.02,15000,58.7014
277,0.03,10000,58.0937
277,0.03,10500,61.0895
277,0.03,11000,64.0853
277,0.03,11500,67.0812
277,0.03,12000,70.077
277,0.03,12500,73.0729
277,0.03,13000,76.0687
277,0.03,13500,79.0645
277,0.03,14000,82.0604
277,0.03,14500,85.0562
277,0.03,15000,88.0521
277,0.04,10000,77.4582
277,0.04,10500,81.4527
277,0.04,11000,85.4471
277,0.04,11500,89.4416
277,0.04,12000,93.436
277,0.04,12500,97.4305
277,0.04,13000,101.425
277,0.04,13500,105.419
277,0.04,14000,109.414
277,0.04,14500,113.408
277,0.04,15000,117.403
277,0.05,10000,96.8227
277,0.05,10500,101.816
277,0.05,11000,106.809
277,0.05,11500,111.802
277,0.05,12000,116.795
277,0.05,12500,121.788
277,0.05,13000,126.781
277,0.05,13500,131.774
277,0.05,14000,136.767
277,0.05,14500,141.76
277,0.05,15000,146.753
278,0.01,10000,18.011
278,0.01,10500,18.9419
278,0.01,11000,19.8728
278,0.01,11500,20.8038
278,0.01,12000,21.7347
278,0.01,12500,22.6656
278,0.01,13000,23.5966
278,0.01,13500,24.5275
278,0.01,14000,25.4584
278,0.01,14500,26.3894
278,0.01,15000,27.3203
278,0.02,10000,36.0219
278,0.02,10500,37.8838
278,0.02,11000,39.7457
278,0.02,11500,41.6075
278,0.02,12000,43.4694
278,0.02,12500,45.3313
278,0.02,13000,47.1931
278,0.02,13500,49.055
278,0.02,14000,50.9169
278,0.02,14500,52.7787
278,0.02,15000,54.6406
278,0.03,10000,54.0329
278,0.03,10500,56.8257
278,0.03,11000,59.6185
278,0.03,11500,62.4113
278,0.03,12000,65.2041
278,0.03,12500,67.9969
278,0.03,13000,70.7897
278,0.03,13500,73.5825
278,0.03,14000,76.3753
278,0.03,14500,79.1681
278,0.03,15000,81.9609
278,0.04,10000,72.0438
278,0.04,10500,75.7676
278,0.04,11000,79.4913
278,0.04,11500,83.215
278,0.04,12000,86.9388
278,0.04,12500,90.6625
278,0.04,13000,94.3862
278,0.04,13500,98.11
278,0.04,14000,101.834
278,0.04,14500,105.557
278,0.04,15000,109.281
278,0.05,10000,90.0548
278,0.05,10500,94.7094
278,0.05,11000,99.3641
278,0.05,11500,104.019
278,0.05,12000,108.673
278,0.05,12500,113.328
278,0.05,13000,117.983
278,0.05,13500,122.637
278,0.05,14000,127.292
278,0.05,14500,131.947
278,0.05,15000,136.601
279,0.01,10000,16.7591
279,0.01,10500,17.6275
279,0.01,11000,18.4958
279,0.01,11500,19.3642
279,0.01,12000,20.2325
279,0.01,12500,21.1008
279,0.01,13000,21.9692
279,0.01,13500,22.8375
279,0.01,14000,23.7059
279,0.01,14500,24.5742
279,0.01,15000,25.4425
279,0.02,10000,33.5182
279,0.02,10500,35.2549
279,0.02,11000,36.9916
279,0.02,11500,38.7283
279,0.02,12000,40.465
279,0.02,12500,42.2017
279,0.02,13000,43.9384
279,0.02,13500,45.675
279,0.02,14000,47.4117
279,0.02,14500,49.1484
279,0.02,15000,50.8851
279,0.03,10000,50.2774
279,0.03,10500,52.8824
279,0.03,11000,55.4874
279,0.03,11500,58.0925
279,0.03,12000,60.6975
279,0.03,12500,63.3025
279,0.03,13000,65.9075
279,0.03,13500,68.5126
279,0.03,14000,71.1176
279,0.03,14500,73.7226
279,0.03,15000,76.3276
279,0.04,10000,67.0365
279,0.04,10500,70.5099
279,0.04,11000,73.9832
279,0.04,11500,77.4566
279,0.04,12000,80.93
279,0.04,12500,84.4033
279,0.04,13000,87.8767
279,0.04,13500,91.3501
279,0.04,14000,94.8234
279,0.04,14500,98.2968
279,0.04,15000,101.77
279,0.05,10000,83.7956
279,0.05,10500,88.1373
279,0.05,11000,92.479
279,0.05,11500,96.8208
279,0.05,12000,101.162
279,0.05,12500,105.504
279,0.05,13000,109.846
279,0.05,13500,114.188
279,0.05,14000,118.529
279,0.05,14500,122.871
279,0.05,15000,127.213
280,0.01,10000,15.6007
280,0.01,10500,16.4111
280,0.01,11000,17.2215
280,0.01,11500,18.032
280,0.01,12000,18.8424
280,0.01,12500,19.6528
280,0.01,13000,20.4632
280,0.01,13500,21.2736
280,0.01,14000,22.0841
280,0.01,14500,22.8945
280,0.01,15000,23.7049
280,0.02,10000,31.2014
280,0.02,10500,32.8222
280,0.02,11000,34.4431
280,0.02,11500,36.0639
280,0.02,12000,37.6848
280,0.02,12500,39.3056
280,0.02,13000,40.9264
280,0.02,13500,42.5473
280,0.02,14000,44.1681
280,0.02,14500,45.789
280,0.02,15000,47.4098
280,0.03,10000,46.8021
280,0.03,10500,49.2334
280,0.03,11000,51.6646
280,0.03,11500,54.0959
280,0.03,12000,56.5271
280,0.03,12500,58.9584
280,0.03,13000,61.3897
280,0.03,13500,63.8209
280,0.03,14000,66.2522
280,0.03,14500,68.6835
280,0.03,15000,71.1147
280,0.04,10000,62.4028
280,0.04,10500,65.6445
280,0.04,11000,68.8862
280,0.04,11500,72.1278
280,0.04,12000,75.3695
280,0.04,12500,78.6112
280,0.04,13000,81.8529
280,0.04,13500,85.0946
280,0.04,14000,88.3363
280,0.04,14500,91.5779
280,0.04,15000,94.8196
280,0.05,10000,78.0035
280,0.05,10500,82.0556
280,0.05,11000,86.1077
280,0.05,11500,90.1598
280,0.05,12000,94.2119
280,0.05,12500,98.264
280,0.05,13000,102.316
280,0.05,13500,106.368
280,0.05,14000,110.42
280,0.05,14500,114.472
280,0.05,15000,118.525
281,0.01,10000,14.5281
281,0.01,10500,15.2849
281,0.01,11000,16.0416
281,0.01,11500,16.7984
281,0.01,12000,17.5552
281,0.01,12500,18.312
281,0.01,13000,19.0688
281,0.01,13500,19.8256
281,0.01,14000,20.5824
281,0.01,14500,21.3392
281,0.01,15000,22.096
281,0.02,10000,29.0561
281,0.02,10500,30.5697
281,0.02,11000,32.0833
281,0.02,11500,33.5969
281,0.02,12000,35.1104
281,0.02,12500,36.624
281,0.02,13000,38.1376
281,0.02,13500,39.6512
281,0.02,14000,41.1648
281,0.02,14500,42.6783
281,0.02,15000,44.1919
281,0.03,10000,43.5842
281,0.03,10500,45.8546
281,0.03,11000,48.1249
281,0.03,11500,50.3953
281,0.03,12000,52.6657
281,0.03,12500,54.936
281,0.03,13000,57.2064
281,0.03,13500,59.4768
281,0.03,14000,61.7471
281,0.03,14500,64.0175
281,0.03,15000,66.2879
281,0.04,10000,58.1123
281,0.04,10500,61.1394
281,0.04,11000,64.1666
281,0.04,11500,67.1937
281,0.04,12000,70.2209
281,0.04,12500,73.248
281,0.04,13000,76.2752
281,0.04,13500,79.3024
281,0.04,14000,82.3295
281,0.04,14500,85.3567
281,0.04,15000,88.3838
281,0.05,10000,72.6403
281,0.05,10500,76.4243
281,0.05,11000,80.2082
281,0.05,11500,83.9922
281,0.05,12000,87.7761
281,0.05,12500,91.5601
281,0.05,13000,95.344
281,0.05,13500,99.128
281,0.05,14000,102.912
281,0.05,14500,106.696
281,0.05,15000,110.48
282,0.01,10000,13.5343
282,0.01,10500,14.2414
282,0.01,11000,14.9485
282,0.01,11500,15.6556
282,0.01,12000,16.3627
282,0.01,12500,17.0698
282,0.01,13000,17.7769
282,0.01,13500,18.484
282,0.01,14000,19.1911
282,0.01,14500,19.8982
282,0.01,15000,20.6053
282,0.02,10000,27.0686
282,0.02,10500,28.4828
282,0.02,11000,29.897
282,0.02,11500,31.3112
282,0.02,12000,32.7254
282,0.02,12500,34.1396
282,0.02,13000,35.5538
282,0.02,13500,36.968
282,0.02,14000,38.3822
282,0.02,14500,39.7964
282,0.02,15000,41.2106
282,0.03,10000,40.6029
282,0.03,10500,42.7242
282,0.03,11000,44.8455
282,0.03,11500,46.9668
282,0.03,12000,49.0881
282,0.03,12500,51.2094
282,0.03,13000,53.3307
282,0.03,13500,55.452
282,0.03,14000,57.5732
282,0.03,14500,59.6946
282,0.03,15000,61.8159
282,0.04,10000,54.1371
282,0.04,10500,56.9655
282,0.04,11000,59.7939
282,0.04,11500,62.6223
282,0.04,12000,65.4507
282,0.04,12500,68.2791
282,0.04,13000,71.1075
282,0.04,13500,73.9359
282,0.04,14000,76.7643
282,0.04,14500,79.5927
282,0.04,15000,82.4211
282,0.05,10000,67.6714
282,0.05,10500,71.2069
282,0.05,11000,74.7424
282,0.05,11500,78.2779
282,0.05,12000,81.8134
282,0.05,12500,85.3489
282,0.05,13000,88.8844
282,0.05,13500,92.4199
282,0.05,14000,95.9554
282,0.05,14500,99.4909
282,0.05,15000,103.026
283,0.01,10000,12.613
283,0.01,10500,13.2741
283,0.01,11000,13.9351
283,0.01,11500,14.5961
283,0.01,12000,15.2572
283,0.01,12500,15.9182
283,0.01,13000,16.5792
283,0.01,13500,17.2403
283,0.01,14000,17.9013
283,0.01,14500,18.5623
283,0.01,15000,19.2234
283,0.02,10000,25.226
283,0.02,10500,26.5481
283,0.02,11000,27.8702
283,0.02,11500,29.1922
283,0.02,12000,30.5143
283,0.02,12500,31.8364
283,0.02,13000,33.1585
283,0.02,13500,34.4805
283,0.02,14000,35.8026
283,0.02,14500,37.1247
283,0.02,15000,38.4468
283,0.03,10000,37.839
283,0.03,10500,39.8222
283,0.03,11000,41.8053
283,0.03,11500,43.7884
283,0.03,12000,45.7715
283,0.03,12500,47.7546
283,0.03,13000,49.7377
283,0.03,13500,51.7208
283,0.03,14000,53.7039
283,0.03,14500,55.687
283,0.03,15000,57.6701
283,0.04,10000,50.4521
283,0.04,10500,53.0962
283,0.04,11000,55.7403
283,0.04,11500,58.3845
283,0.04,12000,61.0286
283,0.04,12500,63.6728
283,0.04,13000,66.3169
283,0.04,13500,68.9611
283,0.04,14000,71.6052
283,0.04,14500,74.2494
283,0.04,15000,76.8935
283,0.05,10000,63.0651
283,0.05,10500,66.3703
283,0.05,11000,69.6754
283,0.05,11500,72.9806
283,0.05,12000,76.2858
283,0.05,12500,79.591
283,0.05,13000,82.8962
283,0.05,13500,86.2013
283,0.05,14000,89.5065
283,0.05,14500,92.8117
283,0.05,15000,96.1169
284,0.01,10000,11.7585
284,0.01,10500,12.3768
284,0.01,11000,12.9951
284,0.01,11500,13.6134
284,0.01,12000,14.2317
284,0.01,12500,14.85
284,0.01,13000,15.4683
284,0.01,13500,16.0866
284,0.01,14000,16.7049
284,0.01,14500,17.3233
284,0.01,15000,17.9416
284,0.02,10000,23.5169
284,0.02,10500,24.7536
284,0.02,11000,25.9902
284,0.02,11500,27.2268
284,0.02,12000,28.4634
284,0.02,12500,29.7
284,0.02,13000,30.9367
284,0.02,13500,32.1733
284,0.02,14000,33.4099
284,0.02,14500,34.6465
284,0.02,15000,35.8831
284,0.03,10000,35.2754
284,0.03,10500,37.1303
284,0.03,11000,38.9853
284,0.03,11500,40.8402
284,0.03,12000,42.6951
284,0.03,12500,44.5501
284,0.03,13000,46.405
284,0.03,13500,48.2599
284,0.03,14000,50.1148
284,0.03,14500,51.9698
284,0.03,15000,53.8247
284,0.04,10000,47.0339
284,0.04,10500,49.5071
284,0.04,11000,51.9804
284,0.04,11500,54.4536
284,0.04,12000,56.9268
284,0.04,12500,59.4001
284,0.04,13000,61.8733
284,0.04,13500,64.3466
284,0.04,14000,66.8198
284,0.04,14500,69.293
284,0.04,15000,71.7663
284,0.05,10000,58.7924
284,0.05,10500,61.8839
284,0.05,11000,64.9755
284,0.05,11500,68.067
284,0.05,12000,71.1585
284,0.05,12500,74.2501
284,0.05,13000,77.3416
284,0.05,13500,80.4332
284,0.05,14000,83.5247
284,0.05,14500,86.6163
284,0.05,15000,89.7078
285,0.01,10000,10.9654
285,0.01,10500,11.544
285,0.01,11000,12.1227
285,0.01,11500,12.7013
285,0.01,12000,13.28
285,0.01,12500,13.8586
285,0.01,13000,14.4373
285,0.01,13500,15.016
285,0.01,14000,15.5946
285,0.01,14500,16.1733
285,0.01,15000,16.7519
285,0.02,10000,21.9307
285,0.02,10500,23.0881
285,0.02,11000,24.2454
285,0.02,11500,25.4027
285,0.02,12000,26.56
285,0.02,12500,27.7173
285,0.02,13000,28.8746
285,0.02,13500,30.0319
285,0.02,14000,31.1892
285,0.02,14500,32.3465
285,0.02,15000,33.5038
285,0.03,10000,32.8961
285,0.03,10500,34.6321
285,0.03,11000,36.368
285,0.03,11500,38.104
285,0.03,12000,39.84
285,0.03,12500,41.5759
285,0.03,13000,43.3119
285,0.03,13500,45.0479
285,0.03,14000,46.7838
285,0.03,14500,48.5198
285,0.03,15000,50.2557
285,0.04,10000,43.8615
285,0.04,10500,46.1761
285,0.04,11000,48.4907
285,0.04,11500,50.8053
285,0.04,12000,53.12
285,0.04,12500,55.4346
285,0.04,13000,57.7492
285,0.04,13500,60.0638
285,0.04,14000,62.3784
285,0.04,14500,64.693
285,0.04,15000,67.0077
285,0.05,10000,54.8269
285,0.05,10500,57.7201
285,0.05,11000,60.6134
285,0.05,11500,63.5067
285,0.05,12000,66.3999
285,0.05,12500,69.2932
285,0.05,13000,72.1865
285,0.05,13500,75.0798
285,0.05,14000,77.973
285,0.05,14500,80.8663
285,0.05,15000,83.7596
286,0.01,10000,10.2289
286,0.01,10500,10.7707
286,0.01,11000,11.3125
286,0.01,11500,11.8544
286,0.01,12000,12.3962
286,0.01,12500,12.938
286,0.01,13000,13.4799
286,0.01,13500,14.0217
286,0.01,14000,14.5635
286,0.01,14500,15.1053
286,0.01,15000,15.6472
286,0.02,10000,20.4578
286,0.02,10500,21.5414
286,0.02,11000,22.6251
286,0.02,11500,23.7087
286,0.02,12000,24.7924
286,0.02,12500,25.8761
286,0.02,13000,26.9597
286,0.02,13500,28.0434
286,0.02,14000,29.127
286,0.02,14500,30.2107
286,0.02,15000,31.2943
286,0.03,10000,30.6866
286,0.03,10500,32.3121
286,0.03,11000,33.9376
286,0.03,11500,35.5631
286,0.03,12000,37.1886
286,0.03,12500,38.8141
286,0.03,13000,40.4396
286,0.03,13500,42.0651
286,0.03,14000,43.6905
286,0.03,14500,45.316
286,0.03,15000,46.9415
286,0.04,10000,40.9155
286,0.04,10500,43.0828
286,0.04,11000,45.2501
286,0.04,11500,47.4175
286,0.04,12000,49.5848
286,0.04,12500,51.7521
286,0.04,13000,53.9194
286,0.04,13500,56.0867
286,0.04,14000,58.2541
286,0.04,14500,60.4214
286,0.04,15000,62.5887
286,0.05,10000,51.1444
286,0.05,10500,53.8535
286,0.05,11000,56.5627
286,0.05,11500,59.2718
286,0.05,12000,61.981
286,0.05,12500,64.6901
286,0.05,13000,67.3993
286,0.05,13500,70.1084
286,0.05,14000,72.8176
286,0.05,14500,75.5267
286,0.05,15000,78.2359
287,0.01,10000,9.54457
287,0.01,10500,10.0522
287,0.01,11000,10.5598
287,0.01,11500,11.0674
287,0.01,12000,11.575
287,0.01,12500,12.0826
287,0.01,13000,12.5903
287,0.01,13500,13.0979
287,0.01,14000,13.6055
287,0.01,14500,14.1131
287,0.01,15000,14.6207
287,0.02,10000,19.0891
287,0.02,10500,20.1044
287,0.02,11000,21.1196
287,0.02,11500,22.1348
287,0.02,12000,23.15
287,0.02,12500,24.1653
287,0.02,13000,25.1805
287,0.02,13500,26.1957
287,0.02,14000,27.211
287,0.02,14500,28.2262
287,0.02,15000,29.2414
287,0.03,10000,28.6337
287,0.03,10500,30.1565
287,0.03,11000,31.6794
287,0.03,11500,33.2022
287,0.03,12000,34.7251
287,0.03,12500,36.2479
287,0.03,13000,37.7708
287,0.03,13500,39.2936
287,0.03,14000,40.8164
287,0.03,14500,42.3393
287,0.03,15000,43.8621
287,0.04,10000,38.1783
287,0.04,10500,40.2087
287,0.04,11000,42.2392
287,0.04,11500,44.2696
287,0.04,12000,46.3001
287,0.04,12500,48.3306
287,0.04,13000,50.361
287,0.04,13500,52.3915
287,0.04,14000,54.4219
287,0.04,14500,56.4524
287,0.04,15000,58.4828
287,0.05,10000,47.7228
287,0.05,10500,50.2609
287,0.05,11000,52.799
287,0.05,11500,55.337
287,0.05,12000,57.8751
287,0.05,12500,60.4132
287,0.05,13000,62.9513
287,0.05,13500,65.4893
287,0.05,14000,68.0274
287,0.05,14500,70.5655
287,0.05,15000,73.1035
288,0.01,10000,8.90839
288,0.01,10500,9.3842
288,0.01,11000,9.86
288,0.01,11500,10.3358
288,0.01,12000,10.8116
288,0.01,12500,11.2874
288,0.01,13000,11.7632
288,0.01,13500,12.239
288,0.01,14000,12.7148
288,0.01,14500,13.1906
288,0.01,15000,13.6664
288,0.02,10000,17.8168
288,0.02,10500,18.7684
288,0.02,11000,19.72
288,0.02,11500,20.6716
288,0.02,12000,21.6232
288,0.02,12500,22.5748
288,0.02,13000,23.5265
288,0.02,13500,24.4781
288,0.02,14000,25.4297
288,0.02,14500,26.3813
288,0.02,15000,27.3329
288,0.03,10000,26.7252
288,0.03,10500,28.1526
288,0.03,11000,29.58
288,0.03,11500,31.0074
288,0.03,12000,32.4348
288,0.03,12500,33.8623
288,0.03,13000,35.2897
288,0.03,13500,36.7171
288,0.03,14000,38.1445
288,0.03,14500,39.5719
288,0.03,15000,40.9993
288,0.04,10000,35.6336
288,0.04,10500,37.5368
288,0.04,11000,39.44
288,0.04,11500,41.3432
288,0.04,12000,43.2465
288,0.04,12500,45.1497
288,0.04,13000,47.0529
288,0.04,13500,48.9561
288,0.04,14000,50.8593
288,0.04,14500,52.7626
288,0.04,15000,54.6658
288,0.05,10000,44.542
288,0.05,10500,46.921
288,0.05,11000,49.3
288,0.05,11500,51.679
288,0.05,12000,54.0581
288,0.05,12500,56.4371
288,0.05,13000,58.8161
288,0.05,13500,61.1952
288,0.05,14000,63.5742
288,0.05,14500,65.9532
288,0.05,15000,68.3322
289,0.01,10000,8.31664
289,0.01,10500,8.76286
289,0.01,11000,9.20908
289,0.01,11500,9.6553
289,0.01,12000,10.1015
289,0.01,12500,10.5477
289,0.01,13000,10.994
289,0.01,13500,11.4402
289,0.01,14000,11.8864
289,0.01,14500,12.3326
289,0.01,15000,12.7788
289,0.02,10000,16.6333
289,0.02,10500,17.5257
289,0.02,11000,18.4182
289,0.02,11500,19.3106
289,0.02,12000,20.203
289,0.02,12500,21.0955
289,0.02,13000,21.9879
289,0.02,13500,22.8803
289,0.02,14000,23.7728
289,0.02,14500,24.6652
289,0.02,15000,25.5576
289,0.03,10000,24.9499
289,0.03,10500,26.2886
289,0.03,11000,27.6272
289,0.03,11500,28.9659
289,0.03,12000,30.3046
289,0.03,12500,31.6432
289,0.03,13000,32.9819
289,0.03,13500,34.3205
289,0.03,14000,35.6592
289,0.03,14500,36.9978
289,0.03,15000,38.3365
289,0.04,10000,33.2666
289,0.04,10500,35.0514
289,0.04,11000,36.8363
289,0.04,11500,38.6212
289,0.04,12000,40.4061
289,0.04,12500,42.1909
289,0.04,13000,43.9758
289,0.04,13500,45.7607
289,0.04,14000,47.5456
289,0.04,14500,49.3304
289,0.04,15000,51.1153
289,0.05,10000,41.5832
289,0.05,10500,43.8143
289,0.05,11000,46.0454
289,0.05,11500,48.2765
289,0.05,12000,50.5076
289,0.05,12500,52.7387
289,0.05,13000,54.9698
289,0.05,13500,57.2009
289,0.05,14000,59.4319
289,0.05,14500,61.663
289,0.05,15000,63.8941
290,0.01,10000,7.76592
290,0.01,10500,8.1846
290,0.01,11000,8.60329
290,0.01,11500,9.02197
290,0.01,12000,9.44065
290,0.01,12500,9.85933
290,0.01,13000,10.278
290,0.01,13500,10.6967
290,0.01,14000,11.1154
290,0.01,14500,11.5341
290,0.01,15000,11.9527
290,0.02,10000,15.5318
290,0.02,10500,16.3692
290,0.02,11000,17.2066
290,0.02,11500,18.0439
290,0.02,12000,18.8813
290,0.02,12500,19.7187
290,0.02,13000,20.556
290,0.02,13500,21.3934
290,0.02,14000,22.2308
290,0.02,14500,23.0681
290,0.02,15000,23.9055
290,0.03,10000,23.2978
290,0.03,10500,24.5538
290,0.03,11000,25.8099
290,0.03,11500,27.0659
290,0.03,12000,28.322
290,0.03,12500,29.578
290,0.03,13000,30.834
290,0.03,13500,32.0901
290,0.03,14000,33.3461
290,0.03,14500,34.6022
290,0.03,15000,35.8582
290,0.04,10000,31.0637
290,0.04,10500,32.7384
290,0.04,11000,34.4131
290,0.04,11500,36.0879
290,0.04,12000,37.7626
290,0.04,12500,39.4373
290,0.04,13000,41.1121
290,0.04,13500,42.7868
290,0.04,14000,44.4615
290,0.04,14500,46.1362
290,0.04,15000,47.811
290,0.05,10000,38.8296
290,0.05,10500,40.923
290,0.05,11000,43.0164
290,0.05,11500,45.1098
290,0.05,12000,47.2033
290,0.05,12500,49.2967
290,0.05,13000,51.3901
290,0.05,13500,53.4835
290,0.05,14000,55.5769
290,0.05,14500,57.6703
290,0.05,15000,59.7637
291,0.01,10000,7.25311
291,0.01,10500,7.64615
291,0.01,11000,8.03919
291,0.01,11500,8.43223
291,0.01,12000,8.82528
291,0.01,12500,9.21832
