 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
Temperature (K), Mixing Ratio (KG/KG), Pressure (Pa)
273,0.01,10000,26.0164
273,0.01,10500,27.3476
273,0.01,11000,28.6788
273,0.01,11500,30.01
273,0.01,12000,31.3412
273,0.01,12500,32.6724
273,0.01,13000,34.0036
273,0.01,13500,35.3348
273,0.01,14000,36.666
273,0.01,14500,37.9972
273,0.01,15000,39.3284
273,0.02,10000,52.0327
273,0.02,10500,54.6951
273,0.02,11000,57.3575
273,0.02,11500,60.0199
273,0.02,12000,62.6823
273,0.02,12500,65.3447
273,0.02,13000,68.0072
273,0.02,13500,70.6696
273,0.02,14000,73.332
273,0.02,14500,75.9944
273,0.02,15000,78.6568
273,0.03,10000,78.0491
273,0.03,10500,82.0427
273,0.03,11000,86.0363
273,0.03,11500,90.0299
273,0.03,12000,94.0235
273,0.03,12500,98.0171
273,0.03,13000,102.011
273,0.03,13500,106.004
273,0.03,14000,109.998
273,0.03,14500,113.992
273,0.03,15000,117.985
273,0.04,10000,104.065
273,0.04,10500,109.39
273,0.04,11000,114.715
273,0.04,11500,120.04
273,0.04,12000,125.365
273,0.04,12500,130.689
273,0.04,13000,136.014
273,0.04,13500,141.339
273,0.04,14000,146.664
273,0.04,14500,151.989
273,0.04,15000,157.314
273,0.05,10000,130.082
273,0.05,10500,136.738
273,0.05,11000,143.394
273,0.05,11500,150.05
273,0.05,12000,156.706
273,0.05,12500,163.362
273,0.05,13000,170.018
273,0.05,13500,176.674
273,0.05,14000,183.33
273,0.05,14500,189.986
273,0.05,15000,196.642
274,0.01,10000,24.1536
274,0.01,10500,25.3917
274,0.01,11000,26.6297
274,0.01,11500,27.8678
274,0.01,12000,29.1059
274,0.01,12500,30.3439
274,0.01,13000,31.582
274,0.01,13500,32.8201
274,0.01,14000,34.0581
274,0.01,14500,35.2962
274,0.01,15000,36.5343
274,0.02,10000,48.3072
274,0.02,10500,50.7833
274,0.02,11000,53.2595
274,0.02,11500,55.7356
274,0.02,12000,58.2117
274,0.02,12500,60.6879
274,0.02,13000,63.164
274,0.02,13500,65.6401
274,0.02,14000,68.1163
274,0.02,14500,70.5924
274,0.02,15000,73.0685
274,0.03,10000,72.4608
274,0.03,10500,76.175
274,0.03,11000,79.8892
274,0.03,11500,83.6034
274,0.03,12000,87.3176
274,0.03,12500,91.0318
274,0.03,13000,94.746
274,0.03,13500,98.4602
274,0.03,14000,102.174
274,0.03,14500,105.889
274,0.03,15000,109.603
274,0.04,10000,96.6144
274,0.04,10500,101.567
274,0.04,11000,106.519
274,0.04,11500,111.471
274,0.04,12000,116.423
274,0.04,12500,121.376
274,0.04,13000,126.328
274,0.04,13500,131.28
274,0.04,14000,136.233
274,0.04,14500,141.185
274,0.04,15000,146.137
274,0.05,10000,120.768
274,0.05,10500,126.958
274,0.05,11000,133.149
274,0.05,11500,139.339
274,0.05,12000,145.529
274,0.05,12500,151.72
274,0.05,13000,157.91
274,0.05,13500,164.1
274,0.05,14000,170.291
274,0.05,14500,176.481
274,0.05,15000,182.671
275,0.01,10000,22.4369
275,0.01,10500,23.5891
275,0.01,11000,24.7414
275,0.01,11500,25.8936
275,0.01,12000,27.0458
275,0.01,12500,28.1981
275,0.01,13000,29.3503
275,0.01,13500,30.5025
275,0.01,14000,31.6547
275,0.01,14500,32.807
275,0.01,15000,33.9592
275,0.02,10000,44.8738
275,0.02,10500,47.1783
275,0.02,11000,49.4827
275,0.02,11500,51.7872
275,0.02,12000,54.0916
275,0.02,12500,56.3961
275,0.02,13000,58.7006
275,0.02,13500,61.005
275,0.02,14000,63.3095
275,0.02,14500,65.614
275,0.02,15000,67.9184
275,0.03,10000,67.3107
275,0.03,10500,70.7674
275,0.03,11000,74.2241
275,0.03,11500,77.6808
275,0.03,12000,81.1375
275,0.03,12500,84.5942
275,0.03,13000,88.0509
275,0.03,13500,91.5076
275,0.03,14000,94.9642
275,0.03,14500,98.4209
275,0.03,15000,101.878
275,0.04,10000,89.7476
275,0.04,10500,94.3565
275,0.04,11000,98.9655
275,0.04,11500,103.574
275,0.04,12000,108.183
275,0.04,12500,112.792
275,0.04,13000,117.401
275,0.04,13500,122.01
275,0.04,14000,126.619
275,0.04,14500,131.228
275,0.04,15000,135.837
275,0.05,10000,112.185
275,0.05,10500,117.946
275,0.05,11000,123.707
275,0.05,11500,129.468
275,0.05,12000,135.229
275,0.05,12500,140.99
275,0.05,13000,146.751
275,0.05,13500,152.513
275,0.05,14000,158.274
275,0.05,14500,164.035
275,0.05,15000,169.796
276,0.01,10000,20.8514
276,0.01,10500,21.9243
276,0.01,11000,22.9973
276,0.01,11500,24.0703
276,0.01,12000,25.1432
276,0.01,12500,26.2162
276,0.01,13000,27.2891
276,0.01,13500,28.3621
276,0.01,14000,29.435
276,0.01,14500,30.508
276,0.01,15000,31.5809
276,0.02,10000,41.7028
276,0.02,10500,43.8487
276,0.02,11000,45.9946
276,0.02,11500,48.1405
276,0.02,12000,50.2864
276,0.02,12500,52.4323
276,0.02,13000,54.5782
276,0.02,13500,56.7241
276,0.02,14000,58.8701
276,0.02,14500,61.016
276,0.02,15000,63.1619
276,0.03,10000,62.5542
276,0.03,10500,65.773
276,0.03,11000,68.9919
276,0.03,11500,72.2108
276,0.03,12000,75.4296
276,0.03,12500,78.6485
276,0.03,13000,81.8674
276,0.03,13500,85.0862
276,0.03,14000,88.3051
276,0.03,14500,91.524
276,0.03,15000,94.7428
276,0.04,10000,83.4056
276,0.04,10500,87.6974
276,0.04,11000,91.9892
276,0.04,11500,96.281
276,0.04,12000,100.573
276,0.04,12500,104.865
276,0.04,13000,109.156
276,0.04,13500,113.448
276,0.04,14000,117.74
276,0.04,14500,122.032
276,0.04,15000,126.324
276,0.05,10000,104.257
276,0.05,10500,109.622
276,0.05,11000,114.986
276,0.05,11500,120.351
276,0.05,12000,125.716
276,0.05,12500,131.081
276,0.05,13000,136.446
276,0.05,13500,141.81
276,0.05,14000,147.175
276,0.05,14500,152.54
276,0.05,15000,157.905
277,0.01,10000,19.3869
277,0.01,10500,20.3866
277,0.01,11000,21.3864
277,0.01,11500,22.3861
277,0.01,12000,23.3858
277,0.01,12500,24.3856
277,0.01,13000,25.3853
277,0.01,13500,26.385
277,0.01,14000,27.3848
277,0.01,14500,28.3845
277,0.01,15000,29.3842
277,0.02,10000,38.7738
277,0.02,10500,40.7733
277,0.02,11000,42.7728
277,0.02,11500,44.7722
277,0.02,12000,46.7717
277,0.02,12500,48.7711
277,0.02,13000,50.7706
277,0.02,13500,52.7701
277,0.02,14000,54.7695
277,0.02,14500,56.769
277,0.02,15000,58.7685
277,0.03,10000,58.1607
277,0.03,10500,61.1599
277,0.03,11000,64.1591
277,0.03,11500,67.1583
277,0.03,12000,70.1575
277,0.03,12500,73.1567
277,0.03,13000,76.1559
277,0.03,13500,79.1551
277,0.03,14000,82.1543
277,0.03,14500,85.1535
277,0.03,15000,88.1527
277,0.04,10000,77.5477
277,0.04,10500,81.5466
277,0.04,11000,85.5455
