STATION,STATION_NAME,DATE,CLDD,DPNP,DPNT,HTDD,DT90,DX32,DT00,DT32,DP01,DP05,DP10,EMXP,MXSD,DSNW,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,194904,-9999,-91,82,-9999,-9999,0,0,11,-9999,-9999,0,-9999,-9999,-9999,29,0,-9999,24,643,360,502
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,194905,-9999,-38,44,-9999,-9999,0,0,1,-9999,-9999,1,-9999,0,-9999,168,0,-9999,28,709,459,584
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,194906,-9999,-9999,-9999,-9999,4,-9999,-9999,-9999,-9999,-9999,-9999,66,-9999,-9999,-9999,-9999,94,-9999,-9999,-9999,-9999
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,194907,-9999,-9999,-9999,-9999,8,-9999,-9999,-9999,-9999,-9999,-9999,56,-9999,-9999,-9999,-9999,102,-9999,-9999,-9999,-9999
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,194908,-9999,-9999,-9999,-9999,14,-9999,-9999,-9999,-9999,-9999,-9999,17,-9999,-9999,-9999,-9999,108,-9999,-9999,-9999,-9999
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,194909,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28,-9999,-9999,-9999,-9999,89,-9999,-9999,-9999,-9999
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,194910,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,76,-9999,-9999,-9999,-9999,77,-9999,-9999,-9999,-9999
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,194911,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,69,-9999,-9999,-9999,-9999
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,194912,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22,-9999,-9999,-9999,-9999,54,-9999,-9999,-9999,-9999
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195001,-9999,-9999,-9999,-9999,-9999,31,29,31,-9999,-9999,-9999,33,15,-9999,121,142,30,-37,-31,-212,-122
