STATION,STATION_NAME,DATE,CLDD,DPNP,DPNT,HTDD,DT90,DX32,DT00,DT32,DP01,DP05,DP10,EMXP,MXSD,DSNW,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195002,-9999,-9999,-9999,-9999,-9999,23,11,28,-9999,-9999,-9999,28,14,-9999,64,64,44,-12,228,35,132
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195003,-9999,-9999,-9999,-9999,-9999,18,9,29,-9999,-9999,-9999,44,10,-9999,143,118,50,-13,284,108,196
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195004,-9999,-9999,-9999,-9999,-9999,3,-9999,23,-9999,-9999,-9999,82,4,-9999,146,94,62,15,432,269,351
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195005,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8,-9999,-9999,-9999,66,3,-9999,131,73,84,26,605,407,506
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195006,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,3,110,0,-9999,488,0,91,37,730,493,612
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195007,-9999,-9999,-9999,-9999,4,-9999,-9999,-9999,-9999,-9999,1,172,0,-9999,320,0,97,44,790,546,668
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195008,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,39,0,-9999,166,0,91,39,763,522,643
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195009,-9999,-9999,-9999,-9999,2,-9999,-9999,1,-9999,-9999,1,128,0,-9999,262,0,97,32,688,457,573
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195010,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8,-9999,-9999,-9999,31,0,-9999,44,1,74,24,585,353,469
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195011,-9999,-9999,-9999,-9999,-9999,12,6,28,-9999,-9999,-9999,11,1,-9999,22,17,64,-12,333,132,233
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195012,-9999,-9999,-9999,-9999,-9999,26,10,31,-9999,-9999,-9999,16,3,-9999,53,55,45,-23,224,56,140
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195101,-9999,21,-6,1835,0,26,18,31,-9999,0,0,24,9,-9999,75,79,42,-34,145,-30,58
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195102,-9999,49,27,1514,0,22,13,28,-9999,0,0,35,15,-9999,90,98,39,-23,215,1,108
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195103,-9999,-43,-121,1680,0,20,17,31,-9999,0,0,8,15,-9999,26,26,47,-24,208,8,108
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195104,-9999,-52,-27,765,0,2,0,25,-9999,0,0,37,3,-9999,68,31,82,18,504,282,393
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195105,-9999,-152,24,278,1,0,0,1,-9999,0,0,27,0,-9999,54,0,92,31,691,437,564
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195106,-9999,-256,-33,185,1,0,0,1,-9999,0,0,20,0,-9999,87,0,90,31,706,482,594
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195107,-9999,-87,17,38,9,0,0,0,-9999,1,0,51,0,-9999,102,0,100,41,839,572,706
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195108,-9999,139,-13,80,2,0,0,0,-9999,2,0,78,0,-9999,286,0,92,42,754,541,648
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195109,-9999,171,-35,351,0,0,0,5,-9999,2,1,160,0,-9999,280,0,82,27,630,431,531
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195110,-9999,-17,-11,695,0,3,0,16,-9999,0,0,23,2,-9999,69,36,79,9,515,331,423
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195111,-9999,-37,-30,1214,0,12,4,30,-9999,0,0,11,2,-9999,21,30,52,-6,328,156,242
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195112,-9999,-3,-80,1833,0,24,19,30,-9999,0,0,11,6,-9999,55,82,49,-28,149,-33,58
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195201,-9999,3,-8,1841,0,29,20,31,-9999,0,0,16,11,-9999,57,73,41,-25,142,-31,56
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195202,-9999,38,99,1356,0,21,5,29,-9999,0,0,30,12,-9999,81,102,45,-18,262,99,181
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195203,-9999,-27,-49,1453,0,26,6,30,-9999,0,0,23,13,-9999,42,60,48,-26,264,96,180
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195204,-9999,-104,91,429,2,0,0,11,-9999,0,0,9,0,-9999,16,16,91,18,649,372,511
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195205,-9999,-174,18,294,1,0,0,2,-9999,0,0,14,0,-9999,32,0,90,29,682,433,558
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195206,-9999,-39,18,66,2,0,0,0,-9999,1,1,168,0,-9999,304,0,95,43,768,521,645
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195207,-9999,27,-15,27,5,0,0,0,-9999,1,1,130,0,-9999,216,0,94,47,798,549,674
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195208,-9999,98,20,53,7,0,0,0,-9999,2,1,128,0,-9999,245,0,101,42,812,549,681
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195209,-9999,-1,44,151,1,0,0,0,-9999,0,0,40,0,-9999,108,0,90,34,742,478,610
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195210,-9999,-74,16,614,0,0,0,16,-9999,0,0,9,0,-9999,12,3,77,17,584,315,450
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195211,-9999,-43,42,1000,0,7,0,25,-9999,0,0,15,0,-9999,15,16,67,2,409,219,314
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195212,-9999,-48,81,1329,0,17,1,31,-9999,0,0,4,1,-9999,10,27,50,-3,320,118,219
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195301,-9999,51,61,1511,0,20,7,31,-9999,1,0,55,6,-9999,100,126,47,-22,260,62,161
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195302,-9999,-18,80,1210,0,15,4,27,-9999,0,0,14,5,-9999,28,25,44,-10,298,132,215
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195303,-9999,24,16,1137,0,13,4,26,-9999,0,0,34,4,-9999,99,127,61,-13,379,183,281
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195304,-9999,94,-69,861,0,2,0,21,-9999,2,0,63,0,-9999,201,14,71,9,454,266,360
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195305,-9999,290,-37,433,0,0,0,4,-9999,2,2,173,1,-9999,456,30,84,25,602,416,509
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195306,-9999,203,0,134,1,0,0,0,-9999,7,0,64,0,-9999,562,0,92,42,722,538,630
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195307,-9999,-117,-17,23,3,0,0,0,-9999,1,0,57,0,-9999,96,0,95,47,807,577,692
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195308,-9999,-104,16,8,2,0,0,0,-9999,0,0,13,0,-9999,37,0,91,47,815,578,697
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195309,-9999,-75,8,222,0,0,0,2,-9999,0,0,14,0,-9999,46,0,86,30,705,455,580
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195310,-9999,90,68,391,1,0,0,3,-9999,2,0,93,0,-9999,167,0,91,27,663,382,523
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195311,-9999,-38,93,815,0,0,0,23,-9999,0,0,13,0,-9999,20,1,68,12,476,276,376
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195312,-9999,8,87,1250,0,12,3,31,-9999,0,0,35,1,-9999,62,46,48,-3,329,159,244
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195401,-9999,78,-106,2034,0,27,24,31,5,1,0,52,12,-9999,127,170,42,-39,93,-105,-6
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195402,-9999,-19,193,896,0,3,1,25,1,0,0,15,9,-9999,27,9,56,-3,411,244,328
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195403,-9999,27,-39,1309,0,17,4,31,4,1,0,51,5,-9999,102,99,52,-9,315,137,226
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195404,-9999,-17,-49,803,0,6,1,20,1,1,0,70,4,-9999,90,61,73,-3,487,273,380
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195405,-9999,-93,-34,432,0,1,0,7,2,0,0,21,2,-9999,73,3,85,19,621,402,512
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195406,-9999,-130,-30,173,1,0,0,0,7,1,0,55,1,-9999,229,5,92,38,703,496,600
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195407,-9999,-27,7,36,10,0,0,0,5,1,0,75,0,-9999,186,0,93,43,844,588,716
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195408,-9999,140,-9,20,2,0,0,0,5,2,0,76,0,-9999,281,0,93,47,788,555,672
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195409,-9999,241,-25,304,0,0,0,2,5,3,1,146,0,-9999,362,0,83,27,651,442,547
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195410,-9999,-7,-2,603,0,0,0,12,2,0,0,47,0,-9999,70,31,75,23,559,347,453
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195411,-9999,-43,107,776,0,4,0,18,0,0,0,6,1,-9999,15,9,69,10,497,282,390
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195412,-9999,-43,113,1171,0,9,3,30,0,0,0,4,1,-9999,11,11,55,-5,363,177,270
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195501,-9999,31,40,1573,0,27,11,31,4,0,0,24,7,-9999,80,83,35,-21,237,43,140
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195502,-9999,5,-38,1551,0,22,14,28,1,0,0,19,6,-9999,51,52,42,-23,198,-5,97
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195503,-9999,-33,-55,1359,0,15,7,28,1,0,0,16,5,-9999,42,40,65,-20,315,105,210
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195504,-9999,134,42,529,0,0,0,5,6,2,0,80,1,-9999,241,8,77,27,583,359,471
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195505,-9999,-32,12,297,0,0,0,0,4,0,0,46,0,-9999,134,0,85,34,669,446,558
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195506,-9999,-123,-9,129,1,0,0,0,5,2,1,109,0,-9999,236,0,90,42,725,516,621
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195507,-9999,-71,6,26,7,0,0,0,3,0,0,41,0,-9999,142,0,101,44,831,599,715
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195508,-9999,-27,40,11,11,0,0,0,2,1,0,80,0,-9999,114,0,98,43,864,577,721
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195509,-9999,-116,-8,279,1,0,0,4,0,0,0,3,0,-9999,5,0,91,28,693,434,564
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195510,-9999,-36,28,518,1,0,0,13,2,0,0,16,1,-9999,41,15,90,21,622,343,483
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195511,-9999,16,-133,1497,0,20,14,28,3,0,0,26,6,-9999,74,80,66,-12,249,50,150
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195512,-9999,-5,-82,1778,0,25,18,31,2,0,0,12,7,-9999,49,45,42,-26,171,-21,75
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195601,-9999,-35,-9999,1800,0,28,15,31,0,-9999,0,-9999,-9999,-9999,14,16,-9999,-23,160,-9999,68
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195602,-9999,-38,-9999,1516,0,20,14,29,0,-9999,0,-9999,-9999,-9999,10,12,-9999,-21,225,-9999,126
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195603,-9999,1,-9999,1194,0,13,5,27,3,-9999,0,-9999,-9999,-9999,76,61,-9999,-16,358,-9999,262
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195604,-9999,-96,-9999,815,0,1,0,26,0,-9999,0,-9999,-9999,-9999,11,9,-9999,16,495,-9999,376
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195605,-9999,20,-9999,338,0,0,0,4,6,-9999,0,-9999,-9999,-9999,186,0,-9999,26,646,-9999,541
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195606,-9999,-35,-9999,26,3,0,0,0,4,-9999,1,-9999,-9999,-9999,324,0,-9999,46,805,-9999,685
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195607,-9999,7,-9999,40,3,0,0,0,8,-9999,0,-9999,-9999,-9999,220,0,-9999,47,782,-9999,672
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195608,-9999,-9999,-2,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,37,0,-9999,-9999,-9999,93,-9999,-9999,552,-9999
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195609,-9999,-9999,-9,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,43,0,-9999,-9999,-9999,89,-9999,-9999,428,-9999
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195610,-9999,-9999,19,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,14,0,-9999,-9999,-9999,81,-9999,-9999,345,-9999
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195611,-9999,-9999,38,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,9,0,-9999,-9999,-9999,59,-9999,-9999,227,-9999
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195612,-9999,-9999,39,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,14,3,-9999,-9999,-9999,48,-9999,-9999,102,-9999
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195701,-9999,11,-83,1963,0,31,19,31,2,0,0,18,5,-9999,60,71,32,-32,105,-71,17
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195702,-9999,-27,17,1391,0,16,12,27,0,0,0,8,5,-9999,19,21,47,-21,243,60,152
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195703,-9999,-31,28,1098,0,6,0,29,1,0,0,19,1,-9999,44,32,63,6,385,201,293
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195704,-9999,62,-19,711,0,1,0,16,5,1,0,58,1,-9999,169,20,81,5,510,309,410
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195705,-9999,-76,21,262,0,0,0,1,2,1,0,61,0,-9999,90,0,86,32,684,450,567
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195706,-9999,-121,-4,103,1,0,0,0,8,1,0,54,0,-9999,238,0,90,44,735,517,626
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195707,-9999,-30,46,0,16,0,0,0,4,1,0,74,0,-9999,183,0,101,52,889,620,755
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195708,-9999,-65,0,59,5,0,0,0,2,0,0,41,0,-9999,76,0,101,42,797,564,681
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195709,-9999,-50,1,235,0,0,0,1,2,0,0,28,0,-9999,71,0,87,28,689,457,573
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195710,-9999,-3,-17,668,1,3,0,13,3,0,0,38,1,-9999,74,15,92,4,536,339,438
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195711,-9999,26,27,1014,0,6,0,29,2,0,0,37,1,-9999,84,57,51,6,388,232,310
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195712,-9999,-24,99,1216,0,9,4,31,2,0,0,11,2,-9999,30,42,49,-16,350,161,256
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195801,-9999,-27,123,1320,0,18,2,31,0,0,0,7,2,-9999,22,16,50,-8,311,134,223
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195802,-9999,60,12,1407,0,19,12,27,2,1,0,62,9,-9999,106,112,61,-24,241,52,147
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195803,-9999,-47,-10,1217,0,19,3,24,0,0,0,8,9,-9999,28,29,59,-7,322,188,255
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195804,-9999,-74,25,582,0,1,0,10,1,0,0,15,0,-9999,33,0,77,15,560,347,454
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195805,-9999,-160,58,189,2,0,0,1,0,0,0,4,0,-9999,6,0,92,30,745,463,604
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195806,-9999,-165,-25,173,1,0,0,0,7,1,0,56,0,-9999,194,0,93,40,717,492,605
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195807,-9999,-132,-48,55,3,0,0,0,2,0,0,34,0,-9999,81,0,94,42,777,544,661
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195808,-9999,-71,42,36,12,0,0,0,1,0,0,48,0,-9999,70,0,105,39,856,590,723
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195809,-9999,-94,13,227,1,0,0,1,1,0,0,17,0,-9999,27,0,94,29,712,457,585
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195810,-9999,34,26,517,0,0,0,12,3,1,0,81,0,-9999,111,8,82,21,607,355,481
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195811,-9999,92,-4,1104,0,12,5,27,6,1,0,56,10,-9999,150,141,64,-9,361,197,279
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195812,-9999,-3,5,1508,0,18,11,31,2,0,0,25,4,-9999,51,51,47,-15,254,70,162
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195901,-9999,-26,-43,1839,0,25,20,31,0,0,0,7,3,-9999,23,25,43,-34,149,-35,57
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195902,-9999,5,-76,1653,0,24,19,28,3,0,0,13,7,-9999,51,52,37,-30,167,-49,59
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195903,-9999,-58,80,941,0,5,0,26,1,0,0,12,3,-9999,17,13,60,8,427,262,345
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195904,-9999,-77,0,658,0,0,0,16,1,0,0,14,0,-9999,30,8,82,17,542,315,429
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195905,-9999,-88,-27,403,0,0,0,2,4,0,0,27,0,-9999,78,2,83,30,633,405,519
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195906,-9999,134,37,65,5,0,0,0,7,3,2,186,0,-9999,493,0,98,44,785,548,667
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195907,-9999,-196,14,10,10,0,0,0,0,0,0,8,0,-9999,17,0,100,51,859,587,723
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195908,-9999,-33,16,18,8,0,0,0,4,0,0,36,0,-9999,108,0,99,46,833,560,697
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195909,-9999,253,-22,312,0,0,0,2,5,2,2,148,0,-9999,374,0,88,31,651,448,550
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195910,-9999,61,-62,788,0,4,0,18,4,1,0,92,5,-9999,138,100,71,15,482,304,393
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195911,-9999,113,-51,1249,0,13,6,28,7,0,0,39,6,-9999,171,147,65,-16,308,156,232
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,195912,-9999,1,118,1153,0,12,0,30,3,0,0,19,3,-9999,55,33,47,6,335,214,275
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,196001,-9999,12,2,1695,0,26,18,31,2,0,0,35,7,-9999,61,60,44,-22,196,8,102
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,196002,-9999,-9,-8,1511,0,22,12,29,1,0,0,13,3,-9999,39,34,45,-16,208,46,127
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,196003,-9999,-47,-49,1342,0,16,8,29,0,0,0,8,3,-9999,28,18,72,-20,311,121,216
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,196004,-9999,4,-3,667,0,0,0,15,3,0,0,43,2,-9999,111,42,72,19,526,325,426
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,196005,-9999,7,13,292,1,0,0,3,6,1,0,50,0,-9999,173,0,93,31,676,441,559
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,196006,-9999,163,-10,117,1,0,0,0,7,2,2,208,0,-9999,522,0,90,39,729,510,620
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,196007,-9999,-124,32,10,14,0,0,0,3,0,0,34,0,-9999,89,0,106,48,877,604,741
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,196008,-9999,157,15,26,6,0,0,0,4,2,1,176,0,-9999,298,0,97,46,829,562,696
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,196009,-9999,-116,30,209,3,0,0,2,0,0,0,2,0,-9999,5,0,100,30,742,462,602
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,196010,-9999,-75,21,532,0,0,0,11,0,0,0,2,0,-9999,2,0,82,7,605,347,476
COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,196011,-9999,6,8,1070,0,7,3,28,3,0,0,22,2,-9999,64,45,67,-11,388,193,291
