Palmer (1965): Table 1 page 10: 
Hydrologic accounting for central Iowa
yyyymm    T_f    P_in  PE_in
195301   32.3    0.90   0.01
195302   22.6    0.21   0.00
195303   36.3    3.22   0.31
195304   48.5    1.16   1.63
195305   60.6    5.60   3.56
195306   77.8    1.03   6.37
195307   76.3    3.57   6.22
195308   70.3    1.84   4.84
195309   69.7    3.57   4.18
195310   49.8    1.95   1.52
195311   37.9    0.26   0.34
195312   26.9    0.89   0.00
195401   26.1    1.34   0.00
195402   25.1    0.59   0.00
195403   34.4    1.01   0.09
195404   50.1    0.61   1.82
195405   70.0    0.76   5.08
195406   78.4    2.10   6.53
195407   79.3    4.68   6.82
195408   72.9    2.83   5.25
195409   61.1    5.59   3.02
195410   56.5    1.15   2.28
195411   41.7    5.15   0.60
195412   21.0    0.34   0.00
195501   20.6    1.53   0.00
195502   28.5    1.44   0.00
195503   39.9    1.46   0.62
195504   46.4    1.24   1.39
195505   54.8    4.13   2.70
195506   65.4    8.65   4.27
195507   78.6    4.43   6.66
195508   72.9    1.64   5.25
195509   64.5    3.89   3.46
195510   50.7    3.55   1.60
195511   33.9    2.89   0.07
195512   21.6    1.31   0.00
